,contour,moments,area_pixels,area_μm^2
0,"[[[ 38 702]]

 [[ 36 712]]

 [[ 40 717]]

 [[ 46 720]]

 [[ 48 723]]

 [[ 61 727]]

 [[ 63 729]]

 [[ 79 726]]

 [[ 85 715]]

 [[ 85 707]]

 [[ 80 701]]

 [[ 74 700]]

 [[ 63 694]]

 [[ 44 696]]]","[61, 710]",1253.0,549.5373009955704
1,"[[[ 13 671]]

 [[  8 678]]

 [[  8 686]]

 [[ 18 696]]

 [[ 22 697]]

 [[ 26 702]]

 [[ 28 702]]

 [[ 34 695]]

 [[ 35 690]]

 [[ 29 679]]

 [[ 20 671]]]","[21, 685]",530.0,232.44594535327397
2,"[[[ 82 673]]

 [[ 71 664]]

 [[ 67 663]]

 [[ 58 671]]

 [[ 55 685]]

 [[ 58 689]]

 [[ 76 689]]

 [[ 76 687]]

 [[ 82 679]]]","[68, 677]",516.5,226.52515240559626
3,"[[[303 651]]

 [[296 654]]

 [[286 647]]

 [[283 648]]

 [[276 656]]

 [[273 662]]

 [[273 666]]

 [[268 671]]

 [[261 671]]

 [[257 668]]

 [[261 658]]

 [[264 654]]

 [[266 654]]

 [[266 652]]

 [[257 655]]

 [[246 665]]

 [[243 673]]

 [[244 683]]

 [[248 684]]

 [[250 682]]

 [[260 683]]

 [[262 685]]

 [[262 693]]

 [[259 700]]

 [[256 704]]

 [[252 703]]

 [[254 707]]

 [[258 710]]

 [[260 710]]

 [[261 706]]

 [[267 708]]

 [[274 708]]

 [[280 705]]

 [[292 693]]

 [[299 682]]

 [[299 668]]

 [[297 655]]]","[274, 678]",2072.0,908.7320731546862
4,"[[[380 649]]

 [[380 655]]

 [[387 664]]

 [[406 664]]

 [[410 668]]

 [[424 664]]

 [[427 667]]

 [[430 667]]

 [[433 663]]

 [[436 662]]

 [[459 663]]

 [[465 660]]

 [[472 660]]

 [[475 654]]

 [[475 648]]

 [[472 645]]

 [[451 635]]

 [[448 631]]

 [[443 629]]

 [[436 631]]

 [[417 629]]

 [[411 634]]

 [[403 634]]

 [[399 637]]

 [[388 639]]

 [[383 643]]]","[426, 648]",2625.5,1151.4845840094733
5,"[[[  5 622]]

 [[  5 629]]

 [[ 10 635]]

 [[ 19 639]]

 [[ 25 645]]

 [[ 29 642]]

 [[ 34 641]]

 [[ 34 639]]

 [[ 36 638]]

 [[ 36 631]]

 [[ 30 621]]

 [[ 18 622]]

 [[  8 620]]]","[21, 630]",516.5,226.52515240559626
6,"[[[130 607]]

 [[129 611]]

 [[135 618]]

 [[135 621]]

 [[133 623]]

 [[129 623]]

 [[123 620]]

 [[112 623]]

 [[108 635]]

 [[112 639]]

 [[119 636]]

 [[126 636]]

 [[130 639]]

 [[129 644]]

 [[134 645]]

 [[141 635]]

 [[140 629]]

 [[135 624]]

 [[135 621]]

 [[139 618]]

 [[140 612]]

 [[134 607]]]","[126, 628]",577.5,253.27836498399193
7,"[[[182 607]]

 [[178 604]]

 [[175 604]]

 [[175 611]]

 [[167 618]]

 [[160 621]]

 [[154 620]]

 [[159 610]]

 [[156 610]]

 [[151 615]]

 [[151 628]]

 [[154 631]]

 [[162 633]]

 [[169 633]]

 [[177 629]]

 [[184 617]]]","[167, 621]",533.5,233.98096574711636
8,"[[[372 602]]

 [[367 602]]

 [[366 605]]

 [[370 612]]

 [[371 618]]

 [[369 620]]

 [[361 619]]

 [[357 622]]

 [[349 623]]

 [[341 628]]

 [[317 653]]

 [[315 660]]

 [[316 670]]

 [[325 665]]

 [[329 659]]

 [[338 652]]

 [[344 649]]

 [[355 649]]

 [[360 632]]

 [[368 623]]

 [[368 621]]

 [[371 620]]

 [[372 610]]

 [[374 609]]

 [[374 604]]]","[342, 639]",1064.5,466.8654883557739
9,"[[[231 599]]

 [[226 597]]

 [[219 600]]

 [[210 601]]

 [[202 608]]

 [[200 613]]

 [[200 620]]

 [[204 624]]

 [[215 627]]

 [[222 627]]

 [[231 622]]

 [[233 618]]

 [[233 603]]]","[217, 612]",775.0,339.89737292224027
10,"[[[514 612]]

 [[505 621]]

 [[500 630]]

 [[499 645]]

 [[502 650]]

 [[514 644]]

 [[538 646]]

 [[548 654]]

 [[548 664]]

 [[540 672]]

 [[549 676]]

 [[557 682]]

 [[565 692]]

 [[567 692]]

 [[566 685]]

 [[569 683]]

 [[576 667]]

 [[579 664]]

 [[584 664]]

 [[586 670]]

 [[585 695]]

 [[587 696]]

 [[590 690]]

 [[588 688]]

 [[588 673]]

 [[590 667]]

 [[592 635]]

 [[580 616]]

 [[574 610]]

 [[574 607]]

 [[564 591]]

 [[559 591]]

 [[542 596]]]","[551, 635]",5067.0,2222.270953028376
11,"[[[ 56 587]]

 [[ 55 598]]

 [[ 62 609]]

 [[ 77 617]]

 [[ 86 616]]

 [[ 88 618]]

 [[ 93 619]]

 [[100 617]]

 [[101 611]]

 [[ 98 610]]

 [[ 99 604]]

 [[ 95 597]]

 [[ 89 591]]

 [[ 82 587]]

 [[ 77 581]]

 [[ 62 582]]]","[77, 600]",1179.0,517.0825840971887
12,"[[[146 570]]

 [[141 573]]

 [[138 588]]

 [[133 590]]

 [[135 595]]

 [[140 600]]

 [[152 601]]

 [[159 598]]

 [[163 593]]

 [[165 593]]

 [[166 584]]

 [[163 583]]

 [[163 579]]

 [[155 572]]]","[150, 586]",694.0,304.37261523617383
13,"[[[341 562]]

 [[339 563]]

 [[339 565]]

 [[341 565]]

 [[342 567]]

 [[335 571]]

 [[335 580]]

 [[333 586]]

 [[330 586]]

 [[328 584]]

 [[328 581]]

 [[323 577]]

 [[323 572]]

 [[326 570]]

 [[326 567]]

 [[321 564]]

 [[308 565]]

 [[299 568]]

 [[294 577]]

 [[284 579]]

 [[271 592]]

 [[268 600]]

 [[268 614]]

 [[273 621]]

 [[274 626]]

 [[283 637]]

 [[293 638]]

 [[294 640]]

 [[309 641]]

 [[315 638]]

 [[321 630]]

 [[325 629]]

 [[326 624]]

 [[321 625]]

 [[319 631]]

 [[310 634]]

 [[298 633]]

 [[293 621]]

 [[293 617]]

 [[295 615]]

 [[310 615]]

 [[317 610]]

 [[321 610]]

 [[326 615]]

 [[329 622]]

 [[332 622]]

 [[336 618]]

 [[337 607]]

 [[345 586]]

 [[345 573]]

 [[342 569]]

 [[344 566]]]","[305, 599]",3562.0,1562.2121836761546
14,"[[[286 559]]

 [[277 550]]

 [[265 552]]

 [[257 562]]

 [[256 569]]

 [[259 576]]

 [[271 576]]

 [[283 566]]]","[270, 563]",545.0,239.02460418402703
15,"[[[120 545]]

 [[107 545]]

 [[ 95 552]]

 [[ 92 556]]

 [[ 91 563]]

 [[ 97 574]]

 [[107 579]]

 [[113 579]]

 [[119 577]]

 [[128 568]]

 [[132 558]]

 [[129 562]]

 [[127 561]]

 [[129 552]]]","[110, 561]",1007.5,441.86658479891236
16,"[[[548 579]]

 [[545 575]]

 [[543 575]]

 [[520 557]]

 [[509 552]]

 [[498 551]]

 [[486 545]]

 [[483 542]]

 [[480 535]]

 [[476 533]]

 [[453 538]]

 [[446 542]]

 [[436 543]]

 [[421 553]]

 [[416 564]]

 [[404 576]]

 [[398 580]]

 [[389 583]]

 [[386 586]]

 [[386 588]]

 [[391 598]]

 [[389 605]]

 [[394 611]]

 [[400 612]]

 [[405 616]]

 [[412 618]]

 [[433 618]]

 [[441 617]]

 [[445 614]]

 [[455 612]]

 [[460 608]]

 [[462 603]]

 [[469 594]]

 [[477 592]]

 [[479 590]]

 [[483 590]]

 [[486 593]]

 [[488 601]]

 [[500 602]]

 [[513 597]]

 [[517 594]]

 [[540 586]]

 [[548 581]]]","[460, 577]",7854.5,3444.805052409982
17,"[[[653 526]]

 [[653 531]]

 [[648 533]]

 [[639 532]]

 [[636 529]]

 [[625 530]]

 [[618 535]]

 [[611 535]]

 [[604 531]]

 [[601 531]]

 [[600 536]]

 [[591 552]]

 [[589 563]]

 [[586 568]]

 [[584 576]]

 [[581 579]]

 [[577 588]]

 [[578 595]]

 [[591 617]]

 [[600 629]]

 [[604 629]]

 [[604 627]]

 [[607 625]]

 [[607 620]]

 [[612 611]]

 [[619 610]]

 [[621 606]]

 [[619 569]]

 [[621 567]]

 [[632 567]]

 [[639 560]]

 [[645 547]]

 [[649 545]]

 [[652 540]]

 [[652 537]]

 [[655 532]]]","[609, 571]",3741.5,1640.9368010174992
