,contour,moments,area_pixels,area_Hm^2
0,"[[[658 689]]

 [[655 691]]

 [[653 696]]

 [[654 710]]

 [[657 715]]

 [[657 719]]

 [[663 722]]

 [[677 721]]

 [[677 713]]

 [[671 694]]

 [[665 688]]]","[664, 705]",621.0,113.41222879684418
1,"[[[660 653]]

 [[652 652]]

 [[646 656]]

 [[640 665]]

 [[640 672]]

 [[647 684]]

 [[654 682]]

 [[661 673]]

 [[664 658]]

 [[663 655]]

 [[661 655]]]","[651, 667]",538.5,98.34538680692526
2,"[[[ 23 613]]

 [[ 16 619]]

 [[ 14 625]]

 [[ 18 635]]

 [[ 21 638]]

 [[ 23 638]]

 [[ 29 630]]

 [[ 38 629]]

 [[ 42 633]]

 [[ 47 642]]

 [[ 47 648]]

 [[ 41 656]]

 [[ 49 665]]

 [[ 55 665]]

 [[ 63 650]]

 [[ 63 641]]

 [[ 60 635]]

 [[ 41 614]]

 [[ 32 612]]]","[41, 634]",1143.5,208.83556139966396
3,"[[[615 606]]

 [[606 617]]

 [[599 618]]

 [[599 623]]

 [[595 629]]

 [[594 640]]

 [[598 643]]

 [[601 654]]

 [[604 656]]

 [[608 656]]

 [[613 661]]

 [[622 663]]

 [[629 661]]

 [[635 654]]

 [[639 645]]

 [[638 630]]

 [[635 627]]

 [[630 613]]

 [[622 607]]]","[617, 635]",1815.0,331.4705237782161
4,"[[[118 602]]

 [[119 605]]

 [[130 617]]

 [[132 616]]

 [[133 612]]

 [[137 611]]

 [[142 613]]

 [[149 619]]

 [[152 618]]

 [[149 607]]

 [[143 600]]

 [[142 595]]

 [[135 587]]

 [[133 587]]

 [[132 590]]]","[134, 603]",545.5,99.62378552122141
5,"[[[512 556]]

 [[499 567]]

 [[495 578]]

 [[495 584]]

 [[497 585]]

 [[500 591]]

 [[499 602]]

 [[501 606]]

 [[510 611]]

 [[514 616]]

 [[515 625]]

 [[526 624]]

 [[531 630]]

 [[537 633]]

 [[540 640]]

 [[546 645]]

 [[548 654]]

 [[556 660]]

 [[568 661]]

 [[570 658]]

 [[574 657]]

 [[578 652]]

 [[581 641]]

 [[578 626]]

 [[572 621]]

 [[570 612]]

 [[565 606]]

 [[558 601]]

 [[558 599]]

 [[551 592]]

 [[549 575]]

 [[541 570]]

 [[538 564]]

 [[532 558]]

 [[525 555]]]","[537, 606]",4808.0,878.0772883336986
6,"[[[140 549]]

 [[136 559]]

 [[136 575]]

 [[140 577]]

 [[146 577]]

 [[149 580]]

 [[149 586]]

 [[157 596]]

 [[162 597]]

 [[168 603]]

 [[170 614]]

 [[179 624]]

 [[181 624]]

 [[184 621]]

 [[181 614]]

 [[182 610]]

 [[184 610]]

 [[190 617]]

 [[189 621]]

 [[193 621]]

 [[197 624]]

 [[200 624]]

 [[199 621]]

 [[195 620]]

 [[193 617]]

 [[190 616]]

 [[192 609]]

 [[189 602]]

 [[191 594]]

 [[190 590]]

 [[187 588]]

 [[185 584]]

 [[176 582]]

 [[171 576]]

 [[171 574]]

 [[178 566]]

 [[178 562]]

 [[173 557]]

 [[171 569]]

 [[167 573]]

 [[165 573]]

 [[155 558]]

 [[152 546]]

 [[146 546]]]","[164, 583]",1892.0,345.53290963547374
7,"[[[618 538]]

 [[613 546]]

 [[613 552]]

 [[611 553]]

 [[610 551]]

 [[607 551]]

 [[607 563]]

 [[610 585]]

 [[614 592]]

 [[619 596]]

 [[627 597]]

 [[631 600]]

 [[636 601]]

 [[638 600]]

 [[650 581]]

 [[652 571]]

 [[647 559]]

 [[638 552]]

 [[635 546]]]","[627, 570]",1948.0,355.7600993498429
8,"[[[653 539]]

 [[653 558]]

 [[659 569]]

 [[664 571]]

 [[685 569]]

 [[688 563]]

 [[686 558]]

 [[686 549]]

 [[683 541]]

 [[672 534]]

 [[660 534]]]","[669, 552]",1067.0,194.8644897362846
9,"[[[ 76 527]]

 [[ 69 533]]

 [[ 59 549]]

 [[ 58 556]]

 [[ 60 559]]

 [[ 60 567]]

 [[ 62 572]]

 [[ 72 581]]

 [[ 77 582]]

 [[ 83 589]]

 [[ 94 589]]

 [[101 594]]

 [[110 594]]

 [[118 590]]

 [[126 578]]

 [[126 551]]

 [[122 546]]

 [[ 91 524]]

 [[ 84 524]]]","[93, 559]",3489.5,637.2817590766308
10,"[[[375 511]]

 [[372 513]]

 [[372 518]]

 [[374 522]]

 [[373 530]]

 [[369 533]]

 [[366 530]]

 [[366 533]]

 [[370 534]]

 [[373 531]]

 [[378 530]]

 [[385 535]]

 [[387 541]]

 [[385 549]]

 [[391 549]]

 [[394 551]]

 [[398 557]]

 [[397 564]]

 [[400 565]]

 [[404 571]]

 [[404 583]]

 [[412 584]]

 [[419 576]]

 [[419 573]]

 [[415 566]]

 [[416 560]]

 [[410 559]]

 [[406 554]]

 [[405 547]]

 [[398 541]]

 [[397 535]]

 [[390 530]]

 [[389 521]]

 [[382 512]]]","[395, 547]",1004.5,183.45021550149755
11,"[[[ 99 510]]

 [[100 520]]

 [[117 534]]

 [[120 533]]

 [[120 525]]

 [[136 513]]

 [[144 514]]

 [[154 521]]

 [[157 521]]

 [[156 514]]

 [[150 505]]

 [[142 497]]

 [[142 495]]

 [[131 490]]

 [[122 490]]

 [[111 495]]

 [[101 505]]]","[124, 508]",1382.0,252.39243187961137
12,"[[[331 472]]

 [[333 484]]

 [[337 489]]

 [[338 500]]

 [[343 506]]

 [[345 513]]

 [[351 519]]

 [[351 522]]

 [[354 524]]

 [[358 519]]

 [[359 510]]

 [[363 504]]

 [[359 498]]

 [[360 490]]

 [[354 489]]

 [[347 485]]

 [[337 473]]]","[347, 497]",743.0,135.6928921031485
13,"[[[532 445]]

 [[531 454]]

 [[529 457]]

 [[531 465]]

 [[536 468]]

 [[542 469]]

 [[546 473]]

 [[546 477]]

 [[550 480]]

 [[554 474]]

 [[557 463]]

 [[554 460]]

 [[554 458]]

 [[549 454]]

 [[543 443]]]","[542, 460]",577.0,105.37657973555409
14,"[[[165 437]]

 [[159 442]]

 [[152 456]]

 [[151 465]]

 [[147 475]]

 [[148 490]]

 [[172 521]]

 [[178 524]]

 [[189 526]]

 [[206 516]]

 [[209 507]]

 [[201 497]]

 [[193 496]]

 [[188 492]]

 [[183 482]]

 [[181 474]]

 [[183 471]]

 [[186 471]]

 [[190 476]]

 [[199 478]]

 [[202 474]]

 [[203 469]]

 [[201 466]]

 [[189 468]]

 [[187 465]]

 [[188 458]]

 [[193 448]]

 [[193 441]]

 [[183 443]]]","[175, 482]",3305.5,603.6781357294177
15,"[[[276 359]]

 [[271 363]]

 [[268 372]]

 [[268 384]]

 [[270 389]]

 [[281 407]]

 [[290 417]]

 [[300 417]]

 [[307 408]]

 [[307 401]]

 [[304 398]]

 [[301 398]]

 [[298 402]]

 [[291 402]]

 [[288 400]]

 [[284 389]]

 [[283 381]]

 [[285 376]]

 [[289 372]]

 [[290 366]]

 [[286 359]]]","[283, 388]",1018.5,186.00701293008984
16,"[[[310 344]]

 [[303 347]]

 [[300 350]]

 [[296 358]]

 [[296 363]]

 [[310 361]]

 [[318 364]]

 [[323 369]]

 [[324 374]]

 [[316 383]]

 [[313 383]]

 [[308 380]]

 [[306 380]]

 [[305 385]]

 [[309 392]]

 [[313 392]]

 [[315 390]]

 [[320 389]]

 [[327 382]]

 [[331 382]]

 [[335 377]]

 [[342 372]]

 [[342 368]]

 [[340 363]]

 [[332 353]]

 [[332 351]]

 [[320 345]]]","[320, 364]",1066.5,194.7731755424063
17,"[[[527 326]]

 [[526 328]]

 [[530 335]]

 [[529 343]]

 [[522 347]]

 [[522 351]]

 [[527 359]]

 [[525 365]]

 [[525 372]]

 [[527 374]]

 [[533 404]]

 [[540 417]]

 [[553 417]]

 [[560 414]]

 [[571 403]]

 [[576 395]]

 [[576 392]]

 [[572 386]]

 [[571 379]]

 [[565 364]]

 [[558 359]]

 [[553 352]]

 [[544 344]]

 [[539 335]]

 [[535 333]]

 [[529 326]]]","[546, 378]",2797.5,510.90291474906854
18,"[[[364 305]]

 [[362 305]]

 [[362 309]]

 [[364 311]]

 [[365 321]]

 [[367 322]]

 [[367 325]]

 [[351 340]]

 [[345 353]]

 [[347 360]]

 [[355 360]]

 [[358 363]]

 [[358 368]]

 [[354 370]]

 [[355 380]]

 [[349 385]]

 [[349 387]]

 [[352 390]]

 [[367 389]]

 [[372 383]]

 [[374 383]]

 [[377 387]]

 [[381 386]]

 [[388 374]]

 [[390 363]]

 [[388 352]]

 [[385 349]]

 [[381 351]]

 [[376 351]]

 [[374 353]]

 [[368 350]]

 [[368 348]]

 [[377 336]]

 [[378 332]]

 [[376 329]]

 [[373 329]]

 [[369 326]]

 [[368 311]]]","[367, 358]",1822.5,332.84023668639054
