,contour,moments,area_pixels,area_μm^2
0,"[[[795 610]]

 [[783 620]]

 [[779 627]]

 [[774 642]]

 [[773 656]]

 [[775 666]]

 [[780 672]]

 [[788 677]]

 [[793 678]]

 [[796 682]]

 [[801 682]]

 [[801 680]]

 [[808 674]]

 [[816 658]]

 [[819 649]]

 [[822 628]]

 [[818 621]]

 [[807 617]]

 [[797 610]]]","[796, 645]",2486.0,293.5723479883327
1,"[[[818 538]]

 [[803 549]]

 [[795 559]]

 [[793 566]]

 [[795 587]]

 [[798 590]]

 [[803 589]]

 [[804 583]]

 [[806 581]]

 [[810 581]]

 [[814 586]]

 [[814 594]]

 [[805 602]]

 [[805 604]]

 [[809 608]]

 [[814 609]]

 [[815 611]]

 [[829 612]]

 [[836 609]]

 [[843 602]]

 [[843 598]]

 [[846 595]]

 [[846 591]]

 [[848 590]]

 [[852 581]]

 [[854 558]]

 [[852 549]]

 [[848 543]]

 [[831 538]]]","[825, 572]",3310.0,390.8787095098074
2,"[[[861 536]]

 [[860 545]]

 [[862 554]]

 [[864 555]]

 [[868 553]]

 [[877 560]]

 [[886 563]]

 [[912 561]]

 [[922 564]]

 [[928 564]]

 [[932 562]]

 [[936 557]]

 [[935 547]]

 [[921 536]]

 [[917 537]]

 [[914 549]]

 [[911 552]]

 [[909 552]]

 [[906 549]]

 [[903 539]]

 [[905 526]]

 [[892 515]]

 [[877 520]]]","[894, 543]",2197.5,259.50331243136003
3,"[[[893 477]]

 [[893 485]]

 [[895 491]]

 [[907 503]]

 [[913 504]]

 [[915 500]]

 [[918 501]]

 [[917 504]]

 [[921 504]]

 [[923 502]]

 [[938 502]]

 [[939 498]]

 [[930 495]]

 [[927 488]]

 [[918 482]]

 [[907 481]]

 [[897 474]]]","[912, 491]",734.5,86.73728463291647
4,"[[[880 465]]

 [[874 466]]

 [[868 463]]

 [[857 465]]

 [[847 472]]

 [[841 479]]

 [[829 487]]

 [[823 498]]

 [[823 520]]

 [[825 524]]

 [[835 530]]

 [[846 533]]

 [[855 529]]

 [[876 508]]

 [[882 496]]

 [[882 471]]]","[852, 497]",2931.0,346.1225068197116
5,"[[[867 333]]

 [[856 342]]

 [[851 354]]

 [[850 373]]

 [[854 386]]

 [[863 400]]

 [[877 406]]

 [[885 406]]

 [[889 409]]

 [[894 410]]

 [[907 401]]

 [[910 397]]

 [[911 392]]

 [[905 394]]

 [[903 392]]

 [[903 388]]

 [[906 379]]

 [[910 381]]

 [[911 387]]

 [[913 387]]

 [[913 368]]

 [[909 364]]

 [[908 360]]

 [[899 346]]

 [[890 340]]]","[880, 371]",3524.5,416.20906696897765
6,"[[[874 254]]

 [[869 259]]

 [[865 268]]

 [[863 278]]

 [[861 311]]

 [[865 320]]

 [[869 324]]

 [[879 328]]

 [[888 329]]

 [[893 332]]

 [[898 332]]

 [[905 326]]

 [[915 311]]

 [[917 290]]

 [[924 282]]

 [[927 284]]

 [[928 283]]

 [[923 279]]

 [[922 275]]

 [[910 265]]

 [[899 260]]

 [[892 260]]

 [[890 258]]]","[889, 292]",3587.5,423.64875237656616
7,"[[[931 220]]

 [[930 228]]

 [[925 233]]

 [[922 244]]

 [[919 249]]

 [[920 260]]

 [[923 263]]

 [[926 263]]

 [[928 260]]

 [[930 260]]

 [[938 269]]

 [[942 269]]

 [[949 261]]

 [[954 260]]

 [[960 261]]

 [[970 269]]

 [[974 267]]

 [[975 263]]

 [[967 263]]

 [[958 258]]

 [[954 254]]

 [[957 248]]

 [[955 245]]

 [[951 245]]

 [[945 242]]

 [[930 242]]

 [[928 240]]

 [[928 237]]

 [[935 230]]

 [[952 230]]

 [[953 232]]

 [[956 232]]

 [[958 234]]

 [[968 235]]

 [[970 237]]

 [[978 238]]

 [[979 240]]

 [[984 240]]

 [[984 236]]

 [[980 236]]

 [[971 231]]

 [[966 231]]

 [[961 228]]

 [[955 229]]

 [[953 231]]

 [[951 226]]

 [[947 226]]

 [[946 224]]

 [[942 223]]

 [[940 218]]

 [[935 218]]]","[942, 246]",1201.0,141.82638372244068
8,"[[[875 191]]

 [[869 196]]

 [[864 205]]

 [[862 215]]

 [[863 225]]

 [[866 231]]

 [[875 241]]

 [[880 244]]

 [[905 251]]

 [[906 249]]

 [[908 249]]

 [[914 234]]

 [[914 231]]

 [[910 226]]

 [[910 218]]

 [[913 211]]

 [[917 207]]

 [[917 200]]

 [[913 196]]

 [[905 195]]

 [[896 190]]]","[889, 218]",2518.0,297.35123581440934
9,"[[[886 152]]

 [[883 154]]

 [[878 162]]

 [[878 173]]

 [[875 175]]

 [[867 176]]

 [[859 184]]

 [[849 199]]

 [[846 209]]

 [[847 233]]

 [[851 244]]

 [[855 246]]

 [[855 253]]

 [[852 261]]

 [[852 278]]

 [[848 306]]

 [[851 322]]

 [[845 331]]

 [[839 347]]

 [[843 343]]

 [[846 333]]

 [[859 325]]

 [[859 323]]

 [[851 316]]

 [[850 299]]

 [[855 259]]

 [[867 248]]

 [[866 244]]

 [[857 244]]

 [[854 243]]

 [[852 240]]

 [[849 223]]

 [[850 208]]

 [[858 192]]

 [[869 179]]

 [[878 179]]

 [[882 181]]

 [[885 180]]

 [[885 177]]

 [[881 170]]

 [[881 163]]]","[858, 236]",739.5,87.32773585574095
10,"[[[924 142]]

 [[909 144]]

 [[896 157]]

 [[892 165]]

 [[892 173]]

 [[897 181]]

 [[905 183]]

 [[915 188]]

 [[927 187]]

 [[930 184]]

 [[933 186]]

 [[939 171]]

 [[942 157]]

 [[937 151]]]","[917, 165]",1700.5,200.81246088260647
11,"[[[960  99]]

 [[942 100]]

 [[932 110]]

 [[927 122]]

 [[929 132]]

 [[946 147]]

 [[951 147]]

 [[974 138]]

 [[986 122]]

 [[986 114]]

 [[983 111]]]","[955, 122]",2024.5,239.07370012163295
12,"[[[ 986  601]]

 [[ 983  607]]

 [[ 984  614]]

 [[ 989  609]]

 [[ 997  610]]

 [[1000  613]]

 [[1000  615]]

 [[1013  628]]

 [[1025  630]]

 [[1030  629]]

 [[1029  621]]

 [[1026  619]]

 [[1016  618]]

 [[1013  615]]

 [[1013  610]]

 [[1011  607]]

 [[ 993  600]]]","[1007, 614]",538.5,63.59159669819676
