,contour,moments,area_pixels
0,"[[[501 701]]

 [[498 696]]

 [[494 696]]

 [[492 698]]

 [[485 697]]

 [[471 702]]

 [[463 707]]

 [[463 702]]

 [[468 700]]

 [[471 694]]

 [[472 685]]

 [[471 681]]

 [[464 678]]

 [[460 680]]

 [[459 693]]

 [[450 696]]

 [[438 707]]

 [[434 714]]

 [[434 722]]

 [[436 725]]

 [[440 727]]

 [[446 725]]

 [[460 724]]

 [[467 720]]

 [[470 715]]

 [[475 714]]

 [[478 710]]

 [[488 708]]

 [[491 704]]

 [[497 706]]]","[461, 706]",1365.0
1,"[[[551 675]]

 [[549 673]]

 [[543 674]]

 [[534 686]]

 [[525 688]]

 [[521 694]]

 [[514 697]]

 [[510 701]]

 [[508 707]]

 [[511 710]]

 [[517 711]]

 [[518 708]]

 [[522 709]]

 [[529 703]]

 [[532 703]]

 [[536 699]]

 [[538 699]]

 [[540 695]]

 [[547 691]]

 [[547 689]]

 [[550 687]]

 [[553 681]]]","[531, 693]",661.5
2,"[[[462 601]]

 [[452 599]]

 [[444 605]]

 [[440 599]]

 [[436 598]]

 [[429 603]]

 [[424 604]]

 [[421 607]]

 [[408 610]]

 [[405 612]]

 [[405 618]]

 [[407 622]]

 [[416 623]]

 [[423 620]]

 [[426 617]]

 [[431 616]]

 [[433 613]]

 [[437 611]]

 [[442 611]]

 [[441 617]]

 [[433 623]]

 [[432 627]]

 [[425 634]]

 [[424 637]]

 [[419 638]]

 [[412 646]]

 [[406 644]]

 [[398 644]]

 [[394 648]]

 [[395 656]]

 [[398 659]]

 [[402 659]]

 [[406 663]]

 [[405 681]]

 [[416 688]]

 [[416 691]]

 [[413 693]]

 [[411 699]]

 [[417 706]]

 [[423 702]]

 [[423 699]]

 [[431 692]]

 [[436 685]]

 [[437 680]]

 [[441 676]]

 [[445 675]]

 [[446 668]]

 [[453 661]]

 [[452 654]]

 [[444 654]]

 [[442 650]]

 [[444 645]]

 [[444 639]]

 [[449 630]]

 [[451 619]]

 [[458 617]]

 [[461 622]]

 [[467 622]]

 [[471 618]]

 [[471 611]]

 [[468 609]]

 [[467 605]]]","[429, 646]",3555.0
3,"[[[663 484]]

 [[661 484]]

 [[657 490]]

 [[657 506]]

 [[654 507]]

 [[655 512]]

 [[652 513]]

 [[652 519]]

 [[646 527]]

 [[646 531]]

 [[653 533]]

 [[654 535]]

 [[658 533]]

 [[666 524]]

 [[666 513]]

 [[676 503]]

 [[676 494]]

 [[673 488]]

 [[667 487]]]","[661, 508]",760.5
4,"[[[419 476]]

 [[417 471]]

 [[404 468]]

 [[401 464]]

 [[397 462]]

 [[386 463]]

 [[376 470]]

 [[367 470]]

 [[358 464]]

 [[349 464]]

 [[344 467]]

 [[337 468]]

 [[333 473]]

 [[341 482]]

 [[347 480]]

 [[349 477]]

 [[355 476]]

 [[358 479]]

 [[366 479]]

 [[366 483]]

 [[368 484]]

 [[382 482]]

 [[384 479]]

 [[391 478]]

 [[394 476]]

 [[415 483]]

 [[417 482]]]","[376, 473]",1105.5
5,"[[[221 414]]

 [[218 419]]

 [[210 426]]

 [[207 432]]

 [[204 447]]

 [[209 456]]

 [[205 457]]

 [[204 462]]

 [[208 466]]

 [[214 463]]

 [[218 464]]

 [[222 468]]

 [[222 470]]

 [[225 471]]

 [[244 472]]

 [[256 461]]

 [[257 441]]

 [[254 437]]

 [[249 437]]

 [[247 433]]

 [[241 429]]

 [[231 417]]

 [[229 417]]

 [[226 414]]]","[229, 445]",2178.5
6,"[[[688 390]]

 [[682 398]]

 [[683 402]]

 [[685 403]]

 [[683 420]]

 [[687 424]]

 [[685 427]]

 [[683 425]]

 [[678 427]]

 [[677 432]]

 [[675 434]]

 [[675 439]]

 [[687 450]]

 [[692 449]]

 [[694 446]]

 [[697 447]]

 [[699 454]]

 [[702 455]]

 [[701 457]]

 [[697 457]]

 [[695 454]]

 [[692 454]]

 [[691 452]]

 [[687 455]]

 [[689 467]]

 [[692 470]]

 [[696 470]]

 [[700 467]]

 [[703 468]]

 [[706 466]]

 [[707 461]]

 [[702 456]]

 [[704 454]]

 [[707 454]]

 [[709 444]]

 [[707 441]]

 [[700 439]]

 [[703 430]]

 [[703 420]]

 [[705 418]]

 [[709 418]]

 [[711 415]]

 [[714 415]]

 [[716 413]]

 [[715 407]]

 [[718 401]]

 [[714 396]]

 [[709 396]]

 [[705 394]]

 [[698 398]]

 [[695 393]]]","[695, 426]",1763.5
7,"[[[333 203]]

 [[329 207]]

 [[328 235]]

 [[326 236]]

 [[326 243]]

 [[330 246]]

 [[330 248]]

 [[338 250]]

 [[340 248]]

 [[342 241]]

 [[342 237]]

 [[340 234]]

 [[341 206]]

 [[338 203]]]","[334, 227]",565.5
8,"[[[394 128]]

 [[394 133]]

 [[398 137]]

 [[415 138]]

 [[422 140]]

 [[431 139]]

 [[435 142]]

 [[442 142]]

 [[443 144]]

 [[451 144]]

 [[455 142]]

 [[456 145]]

 [[463 146]]

 [[467 143]]

 [[466 137]]

 [[451 130]]

 [[444 130]]

 [[439 125]]

 [[433 126]]

 [[430 124]]

 [[423 124]]

 [[419 122]]

 [[414 124]]

 [[396 126]]]","[430, 133]",972.0
9,"[[[841 647]]

 [[837 652]]

 [[830 655]]

 [[826 655]]

 [[824 657]]

 [[823 662]]

 [[821 663]]

 [[819 672]]

 [[819 681]]

 [[821 682]]

 [[821 684]]

 [[819 685]]

 [[819 692]]

 [[835 693]]

 [[835 700]]

 [[838 703]]

 [[841 703]]

 [[845 700]]

 [[853 702]]

 [[857 694]]

 [[859 693]]

 [[857 690]]

 [[857 687]]

 [[859 685]]

 [[861 686]]

 [[861 688]]

 [[864 689]]

 [[869 688]]

 [[872 684]]

 [[875 684]]

 [[878 681]]

 [[878 678]]

 [[874 673]]

 [[874 668]]

 [[867 661]]

 [[861 660]]

 [[857 662]]

 [[849 657]]

 [[849 649]]

 [[846 647]]]","[845, 675]",2066.5
10,"[[[706 632]]

 [[706 639]]

 [[704 641]]

 [[698 642]]

 [[695 646]]

 [[698 658]]

 [[697 665]]

 [[703 668]]

 [[706 674]]

 [[713 675]]

 [[717 681]]

 [[732 683]]

 [[742 680]]

 [[745 683]]

 [[746 687]]

 [[750 689]]

 [[750 697]]

 [[758 696]]

 [[759 691]]

 [[757 688]]

 [[749 688]]

 [[750 686]]

 [[756 684]]

 [[755 676]]

 [[753 676]]

 [[749 671]]

 [[746 670]]

 [[746 658]]

 [[748 655]]

 [[750 656]]

 [[749 665]]

 [[751 667]]

 [[756 668]]

 [[762 662]]

 [[763 652]]

 [[766 646]]

 [[764 640]]

 [[759 637]]

 [[758 631]]

 [[746 631]]

 [[744 633]]

 [[743 640]]

 [[735 644]]

 [[732 643]]

 [[732 640]]

 [[737 635]]

 [[738 630]]

 [[737 625]]

 [[734 622]]

 [[727 623]]

 [[720 629]]]","[730, 655]",2978.5
11,"[[[762 498]]

 [[763 508]]

 [[760 510]]

 [[759 521]]

 [[777 536]]

 [[783 537]]

 [[786 540]]

 [[785 542]]

 [[778 544]]

 [[780 554]]

 [[785 554]]

 [[789 551]]

 [[787 546]]

 [[788 542]]

 [[793 543]]

 [[797 547]]

 [[797 549]]

 [[803 548]]

 [[806 545]]

 [[808 537]]

 [[814 536]]

 [[822 529]]

 [[822 523]]

 [[816 520]]

 [[812 521]]

 [[810 525]]

 [[803 531]]

 [[797 531]]

 [[787 528]]

 [[774 515]]

 [[776 506]]

 [[773 496]]

 [[767 496]]]","[785, 527]",1218.5
12,"[[[944 452]]

 [[928 455]]

 [[926 451]]

 [[921 450]]

 [[906 463]]

 [[900 477]]

 [[900 482]]

 [[894 483]]

 [[888 488]]

 [[888 497]]

 [[894 503]]

 [[899 500]]

 [[899 497]]

 [[904 493]]

 [[913 497]]

 [[913 505]]

 [[909 507]]

 [[909 509]]

 [[905 511]]

 [[903 515]]

 [[903 521]]

 [[906 526]]

 [[904 536]]

 [[907 542]]

 [[905 546]]

 [[905 553]]

 [[914 556]]

 [[914 558]]

 [[909 562]]

 [[909 567]]

 [[912 569]]

 [[923 569]]

 [[925 562]]

 [[928 561]]

 [[929 555]]

 [[926 552]]

 [[922 552]]

 [[921 550]]

 [[923 547]]

 [[933 547]]

 [[932 540]]

 [[925 540]]

 [[919 535]]

 [[918 528]]

 [[922 524]]

 [[922 508]]

 [[925 506]]

 [[925 501]]

 [[927 500]]

 [[928 494]]

 [[930 492]]

 [[929 485]]

 [[934 484]]

 [[937 480]]

 [[935 466]]

 [[938 464]]

 [[944 465]]

 [[945 463]]

 [[947 463]]

 [[948 455]]]","[916, 500]",2849.5
13,"[[[832 367]]

 [[827 367]]

 [[826 372]]

 [[823 373]]

 [[814 383]]

 [[810 385]]

 [[807 384]]

 [[809 377]]

 [[809 365]]

 [[806 363]]

 [[801 363]]

 [[798 367]]

 [[800 370]]

 [[795 376]]

 [[795 384]]

 [[796 386]]

 [[807 387]]

 [[807 390]]

 [[802 393]]

 [[797 401]]

 [[800 410]]

 [[795 413]]

 [[787 432]]

 [[784 435]]

 [[782 444]]

 [[773 452]]

 [[772 456]]

 [[762 464]]

 [[761 468]]

 [[757 472]]

 [[757 484]]

 [[760 484]]

 [[762 487]]

 [[771 485]]

 [[772 480]]

 [[775 474]]

 [[777 473]]

 [[778 469]]

 [[789 458]]

 [[791 449]]

 [[793 448]]

 [[798 436]]

 [[802 432]]

 [[802 427]]

 [[806 419]]

 [[806 413]]

 [[804 411]]

 [[808 410]]

 [[813 404]]

 [[813 399]]

 [[821 394]]

 [[822 388]]

 [[830 380]]

 [[830 377]]

 [[836 373]]

 [[836 370]]]","[794, 422]",2012.0
14,"[[[956 341]]

 [[953 343]]

 [[953 349]]

 [[955 350]]

 [[954 358]]

 [[956 367]]

 [[956 382]]

 [[951 387]]

 [[952 392]]

 [[954 395]]

 [[959 395]]

 [[961 392]]

 [[965 391]]

 [[970 397]]

 [[976 397]]

 [[979 394]]

 [[978 389]]

 [[974 385]]

 [[968 384]]

 [[970 380]]

 [[968 374]]

 [[969 369]]

 [[967 360]]

 [[965 358]]

 [[965 353]]

 [[961 351]]

 [[963 345]]

 [[962 343]]]","[962, 373]",744.5
15,"[[[774 313]]

 [[774 317]]

 [[776 321]]

 [[779 323]]

 [[785 321]]

 [[793 323]]

 [[797 322]]

 [[800 325]]

 [[800 327]]

 [[810 336]]

 [[803 349]]

 [[804 356]]

 [[811 358]]

 [[818 349]]

 [[821 349]]

 [[823 347]]

 [[824 339]]

 [[819 326]]

 [[815 321]]

 [[804 313]]

 [[804 307]]

 [[801 308]]

 [[793 306]]

 [[788 310]]

 [[785 309]]

 [[787 311]]

 [[786 313]]

 [[782 310]]]","[803, 328]",981.5
16,"[[[886 313]]

 [[878 308]]

 [[876 301]]

 [[873 299]]

 [[853 295]]

 [[851 298]]

 [[852 302]]

 [[856 305]]

 [[858 303]]

 [[860 303]]

 [[861 305]]

 [[859 306]]

 [[859 309]]

 [[856 312]]

 [[853 312]]

 [[847 320]]

 [[838 324]]

 [[829 335]]

 [[828 340]]

 [[830 343]]

 [[830 347]]

 [[840 346]]

 [[855 327]]

 [[861 325]]

 [[863 322]]

 [[865 322]]

 [[871 317]]

 [[874 317]]

 [[876 320]]

 [[883 321]]

 [[887 316]]]","[856, 319]",1081.0
17,"[[[964 269]]

 [[962 268]]

 [[962 266]]

 [[955 266]]

 [[951 268]]

 [[951 279]]

 [[947 287]]

 [[932 287]]

 [[925 280]]

 [[921 280]]

 [[915 283]]

 [[915 288]]

 [[930 304]]

 [[944 304]]

 [[950 297]]

 [[950 291]]

 [[953 294]]

 [[956 294]]

 [[961 290]]

 [[961 283]]

 [[959 282]]

 [[959 280]]

 [[962 279]]]","[941, 287]",842.5
18,"[[[825 248]]

 [[826 256]]

 [[840 262]]

 [[842 267]]

 [[847 269]]

 [[861 280]]

 [[861 284]]

 [[870 286]]

 [[873 283]]

 [[874 278]]

 [[873 271]]

 [[871 269]]

 [[864 266]]

 [[859 261]]

 [[852 259]]

 [[844 251]]

 [[837 250]]

 [[835 247]]

 [[831 246]]]","[851, 265]",706.0
19,"[[[873 212]]

 [[872 221]]

 [[878 225]]

 [[888 227]]

 [[892 234]]

 [[892 240]]

 [[884 248]]

 [[882 252]]

 [[881 266]]

 [[877 269]]

 [[878 278]]

 [[884 280]]

 [[888 277]]

 [[889 270]]

 [[894 266]]

 [[895 261]]

 [[901 258]]

 [[906 248]]

 [[904 246]]

 [[906 244]]

 [[906 233]]

 [[903 227]]

 [[897 221]]

 [[893 221]]

 [[890 217]]

 [[882 212]]]","[890, 243]",1080.0
20,"[[[853 138]]

 [[854 143]]

 [[861 149]]

 [[865 149]]

 [[869 155]]

 [[875 155]]

 [[879 150]]

 [[881 150]]

 [[884 154]]

 [[885 160]]

 [[893 165]]

 [[892 167]]

 [[884 168]]

 [[881 173]]

 [[876 173]]

 [[873 169]]

 [[872 164]]

 [[866 163]]

 [[862 168]]

 [[862 174]]

 [[866 185]]

 [[875 186]]

 [[878 188]]

 [[889 186]]

 [[894 179]]

 [[906 175]]

 [[910 169]]

 [[915 169]]

 [[917 172]]

 [[917 176]]

 [[920 178]]

 [[928 177]]

 [[931 174]]

 [[930 168]]

 [[928 166]]

 [[933 160]]

 [[931 154]]

 [[913 155]]

 [[898 159]]

 [[894 146]]

 [[886 138]]

 [[872 132]]

 [[857 133]]]","[889, 160]",2002.5
