,contour,moments,area_pixels
0,"[[[2121  355]]

 [[2122  361]]

 [[2135  371]]

 [[2145  369]]

 [[2150  366]]

 [[2154  366]]

 [[2155  372]]

 [[2161  372]]

 [[2164  375]]

 [[2169  375]]

 [[2171  377]]

 [[2175  377]]

 [[2177  374]]

 [[2177  368]]

 [[2175  366]]

 [[2173  366]]

 [[2167  360]]

 [[2161  360]]

 [[2161  358]]

 [[2164  356]]

 [[2161  353]]

 [[2152  352]]

 [[2145  354]]

 [[2141  357]]

 [[2136  357]]

 [[2128  352]]

 [[2123  353]]]","[2149, 363]",771.5
1,"[[[2117  322]]

 [[2115  328]]

 [[2116  341]]

 [[2122  340]]

 [[2124  342]]

 [[2124  348]]

 [[2142  348]]

 [[2150  344]]

 [[2150  342]]

 [[2145  339]]

 [[2144  336]]

 [[2137  330]]]","[2130, 336]",550.5
2,"[[[2433  462]]

 [[2437  485]]

 [[2439  489]]

 [[2445  490]]

 [[2448  487]]

 [[2449  478]]

 [[2457  484]]

 [[2462  482]]

 [[2464  478]]

 [[2465  465]]

 [[2461  460]]

 [[2439  457]]]","[2448, 471]",753.5
3,"[[[2196  458]]

 [[2196  463]]

 [[2199  466]]

 [[2206  466]]

 [[2210  469]]

 [[2216  469]]

 [[2220  467]]

 [[2225  474]]

 [[2225  479]]

 [[2230  489]]

 [[2236  495]]

 [[2241  505]]

 [[2247  512]]

 [[2253  514]]

 [[2263  512]]

 [[2263  506]]

 [[2249  492]]

 [[2237  468]]

 [[2236  453]]

 [[2233  446]]

 [[2223  446]]

 [[2217  458]]

 [[2208  458]]

 [[2204  455]]

 [[2199  455]]]","[2232, 477]",1375.5
4,"[[[2700  654]]

 [[2702  663]]

 [[2696  668]]

 [[2704  670]]

 [[2716  680]]

 [[2720  680]]

 [[2723  682]]

 [[2733  679]]

 [[2740  679]]

 [[2739  674]]

 [[2735  668]]

 [[2727  664]]

 [[2723  660]]

 [[2715  656]]

 [[2707  655]]

 [[2705  653]]]","[2717, 668]",677.0
5,"[[[2559  508]]

 [[2560  515]]

 [[2565  522]]

 [[2566  528]]

 [[2572  538]]

 [[2578  545]]

 [[2587  550]]

 [[2593  562]]

 [[2609  577]]

 [[2616  586]]

 [[2618  586]]

 [[2624  581]]

 [[2635  582]]

 [[2647  576]]

 [[2647  573]]

 [[2634  571]]

 [[2626  564]]

 [[2607  540]]

 [[2585  518]]

 [[2578  514]]

 [[2572  514]]

 [[2563  507]]]","[2599, 549]",2117.0
6,"[[[2494  366]]

 [[2488  367]]

 [[2484  375]]

 [[2475  372]]

 [[2470  376]]

 [[2472  382]]

 [[2481  383]]

 [[2483  389]]

 [[2487  393]]

 [[2492  392]]

 [[2497  387]]

 [[2500  387]]

 [[2503  384]]

 [[2501  374]]

 [[2499  370]]]","[2488, 379]",507.5
7,"[[[1972  880]]

 [[1968  880]]

 [[1965  883]]

 [[1965  891]]

 [[1960  897]]

 [[1960  901]]

 [[1948  915]]

 [[1948  922]]

 [[1952  925]]

 [[1960  923]]

 [[1960  928]]

 [[1963  933]]

 [[1969  932]]

 [[1978  921]]

 [[1978  914]]

 [[1974  912]]

 [[1971  913]]

 [[1969  909]]

 [[1978  891]]

 [[1977  884]]]","[1965, 908]",871.5
8,"[[[1678  842]]

 [[1677  847]]

 [[1673  850]]

 [[1673  854]]

 [[1677  859]]

 [[1681  867]]

 [[1681  870]]

 [[1683  871]]

 [[1683  876]]

 [[1685  879]]

 [[1690  879]]

 [[1694  877]]

 [[1708  878]]

 [[1716  874]]

 [[1719  874]]

 [[1723  871]]

 [[1727  872]]

 [[1726  876]]

 [[1720  882]]

 [[1715  882]]

 [[1715  888]]

 [[1710  897]]

 [[1714  912]]

 [[1718  916]]

 [[1725  916]]

 [[1722  924]]

 [[1722  929]]

 [[1717  938]]

 [[1715  950]]

 [[1712  952]]

 [[1705  950]]

 [[1697  950]]

 [[1690  964]]

 [[1692  972]]

 [[1705  978]]

 [[1708  982]]

 [[1714  982]]

 [[1727  969]]

 [[1728  961]]

 [[1741  939]]

 [[1738  936]]

 [[1738  933]]

 [[1745  932]]

 [[1769  910]]

 [[1775  897]]

 [[1775  894]]

 [[1773  892]]

 [[1773  884]]

 [[1776  883]]

 [[1779  886]]

 [[1779  878]]

 [[1777  874]]

 [[1761  864]]

 [[1751  864]]

 [[1750  868]]

 [[1753  870]]

 [[1752  873]]

 [[1750  873]]

 [[1748  869]]

 [[1745  872]]

 [[1734  872]]

 [[1732  867]]

 [[1737  865]]

 [[1742  866]]

 [[1742  864]]

 [[1728  856]]

 [[1712  849]]

 [[1687  844]]

 [[1684  842]]]","[1727, 901]",6049.0
9,"[[[1861  827]]

 [[1841  827]]

 [[1836  835]]

 [[1835  840]]

 [[1828  838]]

 [[1820  838]]

 [[1815  840]]

 [[1823  849]]

 [[1828  852]]

 [[1829  860]]

 [[1823  860]]

 [[1822  866]]

 [[1815  880]]

 [[1813  889]]

 [[1807  894]]

 [[1804  900]]

 [[1803  918]]

 [[1806  920]]

 [[1806  922]]

 [[1802  923]]

 [[1788  914]]

 [[1779  912]]

 [[1764  924]]

 [[1762  929]]

 [[1765  933]]

 [[1770  931]]

 [[1771  926]]

 [[1774  926]]

 [[1781  936]]

 [[1786  935]]

 [[1789  932]]

 [[1799  932]]

 [[1806  930]]

 [[1806  923]]

 [[1811  921]]

 [[1819  899]]

 [[1815  886]]

 [[1822  880]]

 [[1823  875]]

 [[1829  867]]

 [[1828  862]]

 [[1835  861]]

 [[1850  846]]

 [[1850  844]]

 [[1837  843]]

 [[1836  840]]

 [[1855  839]]

 [[1862  833]]]","[1813, 884]",1806.0
