,contour,moments,area_pixels
0,"[[[75 28]]

 [[70 30]]

 [[69 38]]

 [[57 38]]

 [[52 47]]

 [[54 56]]

 [[52 57]]

 [[52 62]]

 [[59 67]]

 [[65 66]]

 [[67 62]]

 [[65 51]]

 [[68 47]]

 [[71 46]]

 [[72 41]]

 [[70 38]]

 [[74 38]]

 [[76 43]]

 [[80 43]]

 [[83 41]]

 [[83 37]]]","[64, 47]",530.0
1,"[[[36 19]]

 [[33 22]]

 [[34 30]]

 [[32 32]]

 [[26 30]]

 [[18 32]]

 [[18 40]]

 [[20 42]]

 [[21 52]]

 [[24 54]]

 [[28 54]]

 [[31 52]]

 [[35 40]]

 [[38 38]]

 [[40 39]]

 [[41 43]]

 [[36 47]]

 [[36 49]]

 [[40 56]]

 [[41 65]]

 [[37 69]]

 [[37 71]]

 [[39 74]]

 [[39 80]]

 [[42 83]]

 [[46 84]]

 [[51 81]]

 [[52 76]]

 [[47 70]]

 [[46 64]]

 [[49 61]]

 [[47 57]]

 [[49 44]]

 [[51 38]]

 [[57 33]]

 [[57 26]]

 [[53 23]]

 [[46 25]]

 [[41 20]]]","[38, 45]",1100.0
2,"[[[3832   88]]

 [[3826   88]]

 [[3824   90]]

 [[3822   87]]

 [[3818   86]]

 [[3814   89]]

 [[3811   89]]

 [[3807   93]]

 [[3807   97]]

 [[3797   96]]

 [[3792   89]]

 [[3787   88]]

 [[3783   91]]

 [[3781   95]]

 [[3782  104]]

 [[3786  109]]

 [[3785  114]]

 [[3788  118]]

 [[3791  118]]

 [[3794  116]]

 [[3794  108]]

 [[3798  104]]

 [[3806  105]]

 [[3808  102]]

 [[3812  102]]

 [[3815  107]]

 [[3820  108]]

 [[3824  104]]

 [[3823   95]]

 [[3833   95]]]","[3803, 99]",752.0
3,"[[[3767   75]]

 [[3759   75]]

 [[3757   80]]

 [[3751   84]]

 [[3750   92]]

 [[3736   93]]

 [[3734   95]]

 [[3735  102]]

 [[3740  103]]

 [[3750  101]]

 [[3758  106]]

 [[3763  105]]

 [[3766  100]]

 [[3761   92]]

 [[3761   86]]

 [[3768   82]]]","[3753, 92]",505.5
4,"[[[2684 1174]]

 [[2677 1174]]

 [[2676 1176]]

 [[2665 1181]]

 [[2665 1183]]

 [[2655 1191]]

 [[2649 1193]]

 [[2648 1196]]

 [[2630 1209]]

 [[2628 1209]]

 [[2625 1213]]

 [[2623 1213]]

 [[2620 1220]]

 [[2621 1230]]

 [[2625 1234]]

 [[2638 1238]]

 [[2639 1244]]

 [[2648 1244]]

 [[2649 1240]]

 [[2653 1239]]

 [[2652 1232]]

 [[2654 1231]]

 [[2655 1225]]

 [[2669 1217]]

 [[2675 1216]]

 [[2676 1214]]

 [[2700 1215]]

 [[2704 1218]]

 [[2705 1216]]

 [[2703 1215]]

 [[2703 1203]]

 [[2701 1196]]

 [[2695 1188]]

 [[2693 1182]]

 [[2690 1182]]

 [[2689 1178]]

 [[2686 1177]]]","[2661, 1207]",2846.5
5,"[[[2745 1156]]

 [[2743 1156]]

 [[2742 1158]]

 [[2738 1158]]

 [[2737 1161]]

 [[2731 1161]]

 [[2726 1164]]

 [[2727 1170]]

 [[2739 1172]]

 [[2743 1175]]

 [[2743 1182]]

 [[2739 1187]]

 [[2735 1201]]

 [[2730 1206]]

 [[2731 1218]]

 [[2734 1218]]

 [[2736 1216]]

 [[2741 1216]]

 [[2745 1218]]

 [[2753 1202]]

 [[2752 1188]]

 [[2753 1183]]

 [[2756 1180]]

 [[2754 1179]]

 [[2752 1174]]

 [[2751 1162]]]","[2742, 1187]",971.5
6,"[[[2846 1077]]

 [[2822 1071]]

 [[2821 1069]]

 [[2814 1067]]

 [[2808 1067]]

 [[2803 1065]]

 [[2793 1067]]

 [[2789 1066]]

 [[2783 1069]]

 [[2776 1069]]

 [[2775 1071]]

 [[2769 1072]]

 [[2764 1075]]

 [[2762 1078]]

 [[2762 1085]]

 [[2765 1093]]

 [[2764 1098]]

 [[2761 1099]]

 [[2759 1097]]

 [[2753 1096]]

 [[2753 1099]]

 [[2742 1113]]

 [[2741 1121]]

 [[2734 1129]]

 [[2742 1140]]

 [[2742 1144]]

 [[2737 1145]]

 [[2735 1138]]

 [[2732 1138]]

 [[2732 1149]]

 [[2735 1152]]

 [[2735 1155]]

 [[2744 1151]]

 [[2744 1149]]

 [[2742 1148]]

 [[2743 1145]]

 [[2745 1145]]

 [[2753 1151]]

 [[2757 1149]]

 [[2761 1141]]

 [[2763 1129]]

 [[2760 1126]]

 [[2761 1111]]

 [[2758 1110]]

 [[2758 1104]]

 [[2761 1103]]

 [[2762 1100]]

 [[2765 1101]]

 [[2765 1111]]

 [[2768 1117]]

 [[2773 1136]]

 [[2769 1145]]

 [[2761 1153]]

 [[2759 1157]]

 [[2764 1179]]

 [[2764 1197]]

 [[2767 1197]]

 [[2766 1189]]

 [[2768 1183]]

 [[2773 1178]]

 [[2779 1178]]

 [[2780 1174]]

 [[2787 1169]]

 [[2788 1158]]

 [[2790 1157]]

 [[2791 1150]]

 [[2794 1147]]

 [[2793 1141]]

 [[2795 1140]]

 [[2796 1134]]

 [[2801 1129]]

 [[2804 1129]]

 [[2809 1133]]

 [[2813 1134]]

 [[2819 1130]]

 [[2831 1130]]

 [[2833 1124]]

 [[2836 1121]]

 [[2848 1122]]

 [[2848 1117]]

 [[2852 1105]]]","[2792, 1113]",7214.0
7,"[[[3064 1045]]

 [[3045 1075]]

 [[3045 1084]]

 [[3049 1088]]

 [[3056 1088]]

 [[3066 1081]]

 [[3080 1081]]

 [[3083 1082]]

 [[3097 1096]]

 [[3101 1098]]

 [[3108 1097]]

 [[3110 1092]]

 [[3102 1081]]

 [[3101 1063]]

 [[3095 1048]]

 [[3091 1045]]

 [[3085 1045]]

 [[3082 1048]]

 [[3082 1050]]

 [[3079 1051]]

 [[3077 1046]]

 [[3074 1044]]

 [[3069 1043]]]","[3077, 1069]",2035.5
8,"[[[ 854 1457]]

 [[ 854 1464]]

 [[ 852 1468]]

 [[ 854 1474]]

 [[ 853 1487]]

 [[ 857 1493]]

 [[ 865 1491]]

 [[ 866 1488]]

 [[ 871 1485]]

 [[ 873 1480]]

 [[ 876 1480]]

 [[ 881 1484]]

 [[ 880 1492]]

 [[ 884 1488]]

 [[ 893 1487]]

 [[ 898 1481]]

 [[ 900 1481]]

 [[ 899 1478]]

 [[ 893 1476]]

 [[ 892 1473]]

 [[ 888 1470]]

 [[ 888 1468]]

 [[ 880 1460]]

 [[ 862 1459]]

 [[ 858 1456]]]","[871, 1474]",1063.0
9,"[[[1021 1427]]

 [[1016 1426]]

 [[1014 1428]]

 [[ 999 1429]]

 [[ 993 1436]]

 [[ 994 1440]]

 [[ 996 1441]]

 [[ 996 1450]]

 [[1000 1451]]

 [[1001 1449]]

 [[1007 1449]]

 [[1025 1440]]

 [[1025 1434]]

 [[1021 1430]]]","[1008, 1437]",529.0
10,"[[[1382 1462]]

 [[1379 1465]]

 [[1379 1467]]

 [[1375 1470]]

 [[1364 1469]]

 [[1361 1466]]

 [[1361 1464]]

 [[1363 1461]]

 [[1365 1461]]

 [[1365 1456]]

 [[1363 1458]]

 [[1358 1457]]

 [[1358 1448]]

 [[1356 1443]]

 [[1354 1441]]

 [[1350 1441]]

 [[1340 1445]]

 [[1327 1442]]

 [[1318 1451]]

 [[1315 1458]]

 [[1301 1462]]

 [[1301 1464]]

 [[1304 1464]]

 [[1306 1466]]

 [[1306 1469]]

 [[1308 1469]]

 [[1309 1471]]

 [[1318 1471]]

 [[1320 1477]]

 [[1316 1479]]

 [[1316 1481]]

 [[1326 1481]]

 [[1330 1485]]

 [[1332 1485]]

 [[1334 1483]]

 [[1337 1483]]

 [[1338 1480]]

 [[1343 1477]]

 [[1344 1474]]

 [[1346 1474]]

 [[1349 1471]]

 [[1353 1471]]

 [[1354 1469]]

 [[1362 1469]]

 [[1367 1472]]

 [[1380 1471]]]","[1336, 1461]",1627.5
11,"[[[1232 1453]]

 [[1234 1453]]

 [[1240 1447]]

 [[1257 1447]]

 [[1259 1449]]

 [[1265 1449]]

 [[1267 1452]]

 [[1282 1452]]

 [[1286 1455]]

 [[1290 1455]]

 [[1291 1452]]

 [[1301 1454]]

 [[1304 1448]]

 [[1310 1447]]

 [[1314 1445]]

 [[1312 1439]]

 [[1304 1441]]

 [[1296 1438]]

 [[1293 1438]]

 [[1288 1441]]

 [[1277 1441]]

 [[1261 1423]]

 [[1257 1421]]

 [[1251 1430]]

 [[1237 1444]]

 [[1234 1444]]]","[1271, 1441]",1133.0
