,contour,moments,area_pixels
0,"[[[529 642]]

 [[522 638]]

 [[514 638]]

 [[508 636]]

 [[501 637]]

 [[498 639]]

 [[491 639]]

 [[488 642]]

 [[484 642]]

 [[478 648]]

 [[475 648]]

 [[474 651]]

 [[470 653]]

 [[464 660]]

 [[462 660]]

 [[462 663]]

 [[454 672]]

 [[444 694]]

 [[439 713]]

 [[441 726]]

 [[448 728]]

 [[450 731]]

 [[465 735]]

 [[473 739]]

 [[493 738]]

 [[504 733]]

 [[514 714]]

 [[517 713]]

 [[517 711]]

 [[523 703]]

 [[532 664]]

 [[532 654]]

 [[529 653]]]","[487, 688]",6791.0
1,"[[[595 583]]

 [[579 587]]

 [[570 594]]

 [[567 601]]

 [[568 610]]

 [[576 616]]

 [[576 619]]

 [[595 617]]

 [[600 613]]

 [[599 599]]

 [[594 597]]

 [[594 595]]

 [[597 594]]]","[584, 602]",870.0
2,"[[[639 543]]

 [[627 543]]

 [[616 551]]

 [[607 561]]

 [[606 568]]

 [[601 580]]

 [[601 588]]

 [[605 595]]

 [[607 595]]

 [[625 581]]

 [[628 577]]

 [[630 577]]

 [[638 568]]

 [[640 562]]

 [[648 558]]

 [[648 552]]

 [[644 551]]]","[622, 566]",1308.5
3,"[[[729 468]]

 [[726 467]]

 [[722 470]]

 [[717 471]]

 [[715 474]]

 [[711 474]]

 [[708 478]]

 [[697 484]]

 [[692 489]]

 [[687 490]]

 [[685 493]]

 [[682 493]]

 [[680 496]]

 [[674 498]]

 [[665 509]]

 [[661 519]]

 [[657 522]]

 [[655 526]]

 [[651 526]]

 [[651 529]]

 [[645 533]]

 [[643 539]]

 [[651 547]]

 [[655 557]]

 [[665 557]]

 [[691 549]]

 [[704 542]]

 [[714 533]]

 [[735 501]]

 [[734 487]]

 [[729 481]]]","[692, 516]",4328.0
4,"[[[ 981  618]]

 [[ 971  625]]

 [[ 973  632]]

 [[ 970  636]]

 [[ 965  638]]

 [[ 945  638]]

 [[ 947  662]]

 [[ 957  681]]

 [[ 961  697]]

 [[ 964  703]]

 [[ 964  708]]

 [[ 972  724]]

 [[ 985  726]]

 [[ 989  724]]

 [[1001  725]]

 [[1004  728]]

 [[1004  730]]

 [[1009  733]]

 [[1010  737]]

 [[1015  738]]

 [[1023  732]]

 [[1032  732]]

 [[1039  730]]

 [[1042  727]]

 [[1043  722]]

 [[1046  722]]

 [[1048  724]]

 [[1055  724]]

 [[1056  722]]

 [[1061  721]]

 [[1061  711]]

 [[1050  689]]

 [[1045  683]]

 [[1045  680]]

 [[1042  679]]

 [[1039  673]]

 [[1038  666]]

 [[1034  662]]

 [[1034  657]]

 [[1037  652]]

 [[1038  640]]

 [[1026  626]]

 [[1024  621]]

 [[1016  617]]

 [[1001  615]]

 [[ 993  619]]

 [[ 989  617]]]","[1001, 676]",9282.5
5,"[[[1281  677]]

 [[1277  674]]

 [[1269  674]]

 [[1263  672]]

 [[1256  673]]

 [[1242  686]]

 [[1242  692]]

 [[1246  695]]

 [[1249  695]]

 [[1262  687]]

 [[1271  685]]

 [[1278  686]]

 [[1281  683]]]","[1260, 682]",515.5
6,"[[[1271  551]]

 [[1264  565]]

 [[1253  572]]

 [[1249  572]]

 [[1248  574]]

 [[1238  574]]

 [[1232  582]]

 [[1219  581]]

 [[1212  576]]

 [[1210  579]]

 [[1208  579]]

 [[1208  574]]

 [[1205  573]]

 [[1204  577]]

 [[1206  577]]

 [[1207  580]]

 [[1204  583]]

 [[1200  584]]

 [[1198  588]]

 [[1209  599]]

 [[1219  612]]

 [[1225  623]]

 [[1225  626]]

 [[1227  627]]

 [[1230  639]]

 [[1236  649]]

 [[1245  651]]

 [[1268  651]]

 [[1276  648]]

 [[1279  644]]

 [[1279  635]]

 [[1273  625]]

 [[1260  617]]

 [[1257  613]]

 [[1257  605]]

 [[1259  604]]

 [[1259  598]]

 [[1263  586]]

 [[1263  581]]

 [[1267  574]]

 [[1271  560]]]","[1243, 609]",3754.5
7,"[[[1569  403]]

 [[1569  410]]

 [[1574  415]]

 [[1582  418]]

 [[1610  434]]

 [[1618  432]]

 [[1618  425]]

 [[1594  409]]

 [[1576  401]]

 [[1572  401]]]","[1593, 417]",678.5
8,"[[[1732  135]]

 [[1717  137]]

 [[1713  139]]

 [[1711  145]]

 [[1714  151]]

 [[1715  159]]

 [[1718  162]]

 [[1726  162]]

 [[1733  159]]

 [[1736  140]]]","[1723, 148]",522.5
9,"[[[1855   75]]

 [[1848   75]]

 [[1841   81]]

 [[1828   98]]

 [[1825  105]]

 [[1816  118]]

 [[1812  128]]

 [[1799  145]]

 [[1792  161]]

 [[1788  184]]

 [[1776  207]]

 [[1767  214]]

 [[1741  222]]

 [[1730  230]]

 [[1720  240]]

 [[1711  240]]

 [[1705  243]]

 [[1705  251]]

 [[1719  265]]

 [[1727  265]]

 [[1727  253]]

 [[1729  249]]

 [[1737  241]]

 [[1752  232]]

 [[1768  227]]

 [[1785  219]]

 [[1791  213]]

 [[1799  196]]

 [[1807  191]]

 [[1811  173]]

 [[1824  163]]

 [[1825  143]]

 [[1829  132]]

 [[1843  105]]

 [[1856   84]]

 [[1857   78]]]","[1791, 173]",4191.5
10,"[[[2100  715]]

 [[2100  719]]

 [[2106  727]]

 [[2119  732]]

 [[2142  732]]

 [[2150  728]]

 [[2151  726]]

 [[2150  719]]

 [[2146  717]]

 [[2143  717]]

 [[2137  721]]

 [[2130  717]]

 [[2109  710]]

 [[2102  711]]]","[2124, 722]",749.0
11,"[[[2146  526]]

 [[2144  528]]

 [[2144  548]]

 [[2139  560]]

 [[2140  566]]

 [[2143  569]]

 [[2147  570]]

 [[2160  570]]

 [[2168  574]]

 [[2174  573]]

 [[2178  568]]

 [[2177  561]]

 [[2168  554]]

 [[2158  553]]

 [[2158  533]]

 [[2153  526]]]","[2155, 554]",982.0
