,contour,moments,area_pixels
0,"[[[1186  961]]

 [[1187  966]]

 [[1192  971]]

 [[1192  975]]

 [[1196  978]]

 [[1198  983]]

 [[1202  983]]

 [[1211  987]]

 [[1224  988]]

 [[1234  991]]

 [[1253  991]]

 [[1260  989]]

 [[1284  989]]

 [[1286  985]]

 [[1287  979]]

 [[1273  979]]

 [[1272  976]]

 [[1269  976]]

 [[1268  973]]

 [[1270  968]]

 [[1264  968]]

 [[1262  966]]

 [[1263  962]]

 [[1261  962]]

 [[1259  967]]

 [[1255  970]]

 [[1255  975]]

 [[1252  978]]

 [[1248  979]]

 [[1244  976]]

 [[1243  970]]

 [[1240  968]]

 [[1236  968]]

 [[1235  966]]

 [[1232  966]]

 [[1226  962]]

 [[1215  959]]

 [[1202  958]]

 [[1198  961]]

 [[1194  960]]

 [[1193  958]]

 [[1189  958]]

 [[1189  960]]]","[1232, 976]",1970.5
1,"[[[1682  918]]

 [[1675  919]]

 [[1674  929]]

 [[1675  936]]

 [[1683  944]]

 [[1685  950]]

 [[1682  952]]

 [[1678  952]]

 [[1676  955]]

 [[1676  959]]

 [[1679  961]]

 [[1679  963]]

 [[1676  965]]

 [[1672  965]]

 [[1669  968]]

 [[1669  976]]

 [[1677  984]]

 [[1683  983]]

 [[1684  979]]

 [[1688  976]]

 [[1689  968]]

 [[1685  963]]

 [[1690  958]]

 [[1696  966]]

 [[1700  967]]

 [[1710  967]]

 [[1714  965]]

 [[1715  962]]

 [[1714  958]]

 [[1711  955]]

 [[1696  950]]

 [[1696  941]]

 [[1689  931]]

 [[1685  921]]]","[1687, 953]",1202.0
2,"[[[1722  864]]

 [[1721  871]]

 [[1724  876]]

 [[1735  876]]

 [[1741  878]]

 [[1744  877]]

 [[1748  879]]

 [[1757  878]]

 [[1759  885]]

 [[1763  887]]

 [[1764  897]]

 [[1770  898]]

 [[1773  896]]

 [[1774  890]]

 [[1771  886]]

 [[1771  877]]

 [[1767  873]]

 [[1767  867]]

 [[1764  864]]

 [[1744  865]]

 [[1737  862]]]","[1750, 874]",830.0
3,"[[[2130  927]]

 [[2120  926]]

 [[2111  931]]

 [[2101  933]]

 [[2099  937]]

 [[2098  947]]

 [[2096  949]]

 [[2096  970]]

 [[2100  975]]

 [[2106  977]]

 [[2112  976]]

 [[2114  973]]

 [[2114  968]]

 [[2118  963]]

 [[2123  969]]

 [[2130  969]]

 [[2133  966]]

 [[2134  962]]

 [[2139  958]]

 [[2140  945]]

 [[2134  940]]

 [[2133  932]]]","[2116, 950]",1618.0
4,"[[[2182  808]]

 [[2178  804]]

 [[2173  804]]

 [[2162  817]]

 [[2156  820]]

 [[2143  820]]

 [[2141  823]]

 [[2142  828]]

 [[2147  831]]

 [[2157  832]]

 [[2162  831]]

 [[2168  825]]

 [[2171  825]]

 [[2172  829]]

 [[2178  832]]

 [[2182  828]]

 [[2182  824]]

 [[2178  821]]]","[2165, 820]",613.0
5,"[[[2177  851]]

 [[2179  867]]

 [[2191  877]]

 [[2197  877]]

 [[2201  881]]

 [[2221  887]]

 [[2225  890]]

 [[2228  895]]

 [[2232  895]]

 [[2235  892]]

 [[2235  888]]

 [[2240  884]]

 [[2244  888]]

 [[2250  887]]

 [[2251  881]]

 [[2248  878]]

 [[2242  879]]

 [[2239  875]]

 [[2220  875]]

 [[2209  870]]

 [[2201  870]]

 [[2190  861]]

 [[2186  849]]

 [[2181  848]]]","[2210, 874]",1011.0
6,"[[[1394 1190]]

 [[1388 1190]]

 [[1369 1210]]

 [[1368 1218]]

 [[1366 1220]]

 [[1366 1224]]

 [[1369 1227]]

 [[1373 1227]]

 [[1382 1216]]

 [[1387 1222]]

 [[1391 1222]]

 [[1393 1220]]

 [[1393 1215]]

 [[1388 1213]]

 [[1387 1210]]

 [[1395 1202]]

 [[1397 1197]]]","[1381, 1208]",596.0
7,"[[[1408 1185]]

 [[1401 1192]]

 [[1400 1201]]

 [[1402 1206]]

 [[1410 1207]]

 [[1416 1213]]

 [[1422 1215]]

 [[1429 1215]]

 [[1432 1212]]

 [[1432 1208]]

 [[1422 1200]]

 [[1416 1200]]

 [[1414 1198]]

 [[1416 1195]]

 [[1419 1194]]

 [[1419 1186]]

 [[1416 1184]]]","[1414, 1200]",540.0
8,"[[[1378 1152]]

 [[1373 1160]]

 [[1371 1169]]

 [[1372 1176]]

 [[1383 1184]]

 [[1395 1183]]

 [[1397 1179]]

 [[1396 1174]]

 [[1393 1172]]

 [[1386 1171]]

 [[1388 1165]]

 [[1387 1154]]

 [[1384 1151]]]","[1382, 1169]",521.5
9,"[[[1309 1141]]

 [[1306 1142]]

 [[1303 1148]]

 [[1303 1154]]

 [[1308 1161]]

 [[1314 1162]]

 [[1313 1172]]

 [[1315 1173]]

 [[1315 1175]]

 [[1309 1187]]

 [[1301 1185]]

 [[1296 1186]]

 [[1290 1192]]

 [[1288 1197]]

 [[1289 1211]]

 [[1292 1214]]

 [[1300 1213]]

 [[1303 1210]]

 [[1310 1196]]

 [[1311 1191]]

 [[1321 1193]]

 [[1322 1199]]

 [[1319 1201]]

 [[1318 1206]]

 [[1321 1210]]

 [[1326 1213]]

 [[1326 1225]]

 [[1321 1229]]

 [[1321 1233]]

 [[1324 1237]]

 [[1333 1239]]

 [[1341 1234]]

 [[1344 1230]]

 [[1349 1230]]

 [[1355 1225]]

 [[1360 1215]]

 [[1361 1206]]

 [[1360 1202]]

 [[1357 1199]]

 [[1347 1201]]

 [[1345 1197]]

 [[1341 1194]]

 [[1340 1190]]

 [[1335 1188]]

 [[1333 1185]]

 [[1329 1184]]

 [[1327 1182]]

 [[1327 1179]]

 [[1320 1175]]

 [[1329 1166]]

 [[1330 1162]]

 [[1329 1159]]

 [[1323 1156]]

 [[1323 1151]]

 [[1321 1147]]

 [[1318 1146]]

 [[1316 1143]]]","[1325, 1196]",2702.5
10,"[[[1611 1120]]

 [[1612 1128]]

 [[1617 1130]]

 [[1625 1130]]

 [[1634 1139]]

 [[1637 1148]]

 [[1645 1148]]

 [[1648 1144]]

 [[1648 1138]]

 [[1652 1136]]

 [[1655 1132]]

 [[1655 1127]]

 [[1651 1123]]

 [[1647 1123]]

 [[1644 1125]]

 [[1641 1125]]

 [[1636 1122]]

 [[1627 1123]]

 [[1625 1119]]

 [[1621 1117]]

 [[1614 1117]]]","[1634, 1130]",674.5
11,"[[[1656 1096]]

 [[1656 1103]]

 [[1659 1108]]

 [[1655 1109]]

 [[1652 1113]]

 [[1652 1116]]

 [[1655 1118]]

 [[1662 1117]]

 [[1662 1108]]

 [[1666 1109]]

 [[1667 1116]]

 [[1671 1120]]

 [[1681 1120]]

 [[1684 1117]]

 [[1687 1117]]

 [[1689 1121]]

 [[1692 1123]]

 [[1697 1123]]

 [[1702 1116]]

 [[1703 1108]]

 [[1701 1105]]

 [[1694 1104]]

 [[1690 1106]]

 [[1687 1103]]

 [[1673 1101]]

 [[1670 1095]]

 [[1666 1093]]

 [[1660 1093]]]","[1677, 1109]",864.5
12,"[[[1598 1094]]

 [[1598 1099]]

 [[1604 1102]]

 [[1605 1107]]

 [[1608 1110]]

 [[1614 1110]]

 [[1619 1105]]

 [[1640 1104]]

 [[1644 1100]]

 [[1644 1096]]

 [[1642 1093]]

 [[1621 1087]]

 [[1616 1087]]

 [[1612 1091]]

 [[1602 1091]]]","[1620, 1097]",683.0
