,contour,moments,area_pixels
0,"[[[903 686]]

 [[895 688]]

 [[894 692]]

 [[882 694]]

 [[878 699]]

 [[876 699]]

 [[876 701]]

 [[873 703]]

 [[871 708]]

 [[867 712]]

 [[874 724]]

 [[878 724]]

 [[882 728]]

 [[889 729]]

 [[890 726]]

 [[898 725]]

 [[903 720]]

 [[903 718]]

 [[907 716]]

 [[908 711]]

 [[910 710]]

 [[910 701]]

 [[906 695]]

 [[906 691]]]","[890, 708]",1171.5
1,"[[[1044  606]]

 [[1019  594]]

 [[1011  598]]

 [[ 998  599]]

 [[ 993  604]]

 [[ 985  606]]

 [[ 978  613]]

 [[ 974  614]]

 [[ 972  617]]

 [[ 969  617]]

 [[ 965  625]]

 [[ 963  626]]

 [[ 963  629]]

 [[ 959  631]]

 [[ 958  634]]

 [[ 952  640]]

 [[ 950  646]]

 [[ 951  656]]

 [[ 949  658]]

 [[ 949  668]]

 [[ 958  672]]

 [[ 960  670]]

 [[ 966  670]]

 [[ 973  676]]

 [[ 975  680]]

 [[ 984  684]]

 [[ 985  686]]

 [[ 998  686]]

 [[1003  682]]

 [[1003  680]]

 [[1009  674]]

 [[1011  668]]

 [[1016  663]]

 [[1022  662]]

 [[1024  659]]

 [[1039  654]]

 [[1044  654]]

 [[1047  652]]

 [[1048  619]]

 [[1046  618]]

 [[1047  613]]

 [[1044  611]]]","[1000, 639]",6045.0
2,"[[[1140  600]]

 [[1133  592]]

 [[1133  590]]

 [[1126  590]]

 [[1109  576]]

 [[1101  576]]

 [[1096  574]]

 [[1088  576]]

 [[1072  584]]

 [[1065  595]]

 [[1064  604]]

 [[1059  606]]

 [[1054  605]]

 [[1054  617]]

 [[1058  618]]

 [[1059  620]]

 [[1079  623]]

 [[1087  623]]

 [[1088  621]]

 [[1097  624]]

 [[1115  623]]

 [[1126  619]]

 [[1128  612]]

 [[1133  606]]

 [[1139  603]]]","[1096, 601]",2931.5
3,"[[[1254  606]]

 [[1250  612]]

 [[1250  620]]

 [[1253  625]]

 [[1265  636]]

 [[1275  640]]

 [[1282  640]]

 [[1286  636]]

 [[1288  631]]

 [[1291  629]]

 [[1300  638]]

 [[1299  646]]

 [[1308  654]]

 [[1313  656]]

 [[1309  660]]

 [[1309  667]]

 [[1312  672]]

 [[1312  678]]

 [[1315  681]]

 [[1321  680]]

 [[1325  672]]

 [[1325  665]]

 [[1323  660]]

 [[1320  657]]

 [[1314  656]]

 [[1317  652]]

 [[1316  644]]

 [[1323  644]]

 [[1326  650]]

 [[1334  655]]

 [[1334  662]]

 [[1336  664]]

 [[1337  669]]

 [[1340  672]]

 [[1339  686]]

 [[1345  691]]

 [[1347  695]]

 [[1352  698]]

 [[1352  705]]

 [[1355  709]]

 [[1357  721]]

 [[1360  724]]

 [[1368  723]]

 [[1370  720]]

 [[1369  702]]

 [[1367  699]]

 [[1357  695]]

 [[1357  687]]

 [[1353  684]]

 [[1352  675]]

 [[1350  672]]

 [[1351  665]]

 [[1348  655]]

 [[1341  646]]

 [[1341  643]]

 [[1336  638]]

 [[1335  632]]

 [[1330  630]]

 [[1317  629]]

 [[1312  622]]

 [[1310  613]]

 [[1303  608]]

 [[1295  609]]

 [[1294  601]]

 [[1291  598]]

 [[1284  595]]

 [[1280  595]]

 [[1277  599]]

 [[1277  618]]

 [[1274  616]]

 [[1271  605]]

 [[1261  604]]]","[1309, 645]",3862.5
4,"[[[1258  548]]

 [[1254  548]]

 [[1248  543]]

 [[1242  524]]

 [[1237  518]]

 [[1229  516]]

 [[1227  514]]

 [[1219  514]]

 [[1199  518]]

 [[1171  532]]

 [[1165  538]]

 [[1161  539]]

 [[1159  542]]

 [[1147  550]]

 [[1146  554]]

 [[1143  556]]

 [[1143  562]]

 [[1141  564]]

 [[1142  573]]

 [[1139  574]]

 [[1140  578]]

 [[1138  579]]

 [[1139  584]]

 [[1137  587]]

 [[1142  590]]

 [[1143  593]]

 [[1150  594]]

 [[1165  609]]

 [[1169  609]]

 [[1176  614]]

 [[1180  613]]

 [[1185  616]]

 [[1205  615]]

 [[1206  617]]

 [[1213  618]]

 [[1215  615]]

 [[1220  614]]

 [[1224  610]]

 [[1224  608]]

 [[1229  605]]

 [[1233  598]]

 [[1249  581]]

 [[1251  577]]

 [[1253  564]]

 [[1258  556]]]","[1199, 566]",8694.0
5,"[[[1500  686]]

 [[1498  690]]

 [[1499  694]]

 [[1504  699]]

 [[1504  712]]

 [[1508  715]]

 [[1519  714]]

 [[1521  712]]

 [[1521  703]]

 [[1516  688]]

 [[1512  685]]]","[1510, 699]",488.5
6,"[[[1745  655]]

 [[1742  653]]

 [[1736  653]]

 [[1732  645]]

 [[1725  645]]

 [[1718  656]]

 [[1717  662]]

 [[1713  666]]

 [[1712  674]]

 [[1702  681]]

 [[1700  684]]

 [[1700  688]]

 [[1698  690]]

 [[1690  692]]

 [[1678  690]]

 [[1671  693]]

 [[1667  686]]

 [[1669  685]]

 [[1671  688]]

 [[1675  688]]

 [[1677  685]]

 [[1677  680]]

 [[1670  679]]

 [[1667  672]]

 [[1661  667]]

 [[1655  666]]

 [[1650  668]]

 [[1649  678]]

 [[1653  686]]

 [[1658  689]]

 [[1658  698]]

 [[1665  706]]

 [[1664  710]]

 [[1657  716]]

 [[1656  724]]

 [[1659  726]]

 [[1675  725]]

 [[1678  722]]

 [[1679  707]]

 [[1681  705]]

 [[1692  706]]

 [[1700  703]]

 [[1705  693]]

 [[1709  695]]

 [[1709  698]]

 [[1712  701]]

 [[1721  701]]

 [[1724  698]]

 [[1724  693]]

 [[1731  690]]

 [[1734  681]]

 [[1745  667]]]","[1697, 685]",2816.0
7,"[[[1777  600]]

 [[1770  599]]

 [[1759  606]]

 [[1748  619]]

 [[1746  623]]

 [[1746  628]]

 [[1739  633]]

 [[1737  637]]

 [[1737  644]]

 [[1740  647]]

 [[1744  648]]

 [[1747  653]]

 [[1752  653]]

 [[1757  648]]

 [[1757  641]]

 [[1766  632]]

 [[1767  627]]

 [[1772  623]]

 [[1775  613]]

 [[1779  608]]

 [[1779  603]]]","[1757, 625]",1084.5
8,"[[[2412  601]]

 [[2407  597]]

 [[2399  597]]

 [[2394  599]]

 [[2390  603]]

 [[2382  603]]

 [[2379  608]]

 [[2379  614]]

 [[2385  618]]

 [[2402  620]]

 [[2404  618]]

 [[2406  611]]

 [[2411  607]]]","[2395, 608]",529.5
9,"[[[2176  509]]

 [[2173  512]]

 [[2170  520]]

 [[2170  524]]

 [[2172  526]]

 [[2176  527]]

 [[2179  526]]

 [[2182  522]]

 [[2190  523]]

 [[2198  520]]

 [[2210  522]]

 [[2216  535]]

 [[2223  540]]

 [[2233  541]]

 [[2244  537]]

 [[2248  537]]

 [[2248  544]]

 [[2244  551]]

 [[2244  556]]

 [[2248  560]]

 [[2263  560]]

 [[2265  562]]

 [[2270  562]]

 [[2273  565]]

 [[2277  565]]

 [[2280  568]]

 [[2279  573]]

 [[2267  572]]

 [[2264  574]]

 [[2264  585]]

 [[2259  580]]

 [[2254  580]]

 [[2249  584]]

 [[2249  591]]

 [[2247  594]]

 [[2248  606]]

 [[2260  621]]

 [[2265  622]]

 [[2269  618]]

 [[2271  619]]

 [[2271  628]]

 [[2276  632]]

 [[2276  639]]

 [[2278  642]]

 [[2286  642]]

 [[2289  634]]

 [[2293  637]]

 [[2298  637]]

 [[2303  641]]

 [[2309  642]]

 [[2306  646]]

 [[2304  654]]

 [[2308  661]]

 [[2308  666]]

 [[2313  677]]

 [[2312  690]]

 [[2318  705]]

 [[2324  707]]

 [[2323  716]]

 [[2327  720]]

 [[2338  725]]

 [[2346  724]]

 [[2353  719]]

 [[2355  716]]

 [[2354  706]]

 [[2347  705]]

 [[2338  708]]

 [[2336  706]]

 [[2327  705]]

 [[2328  697]]

 [[2325  688]]

 [[2328  679]]

 [[2326  673]]

 [[2322  669]]

 [[2322  663]]

 [[2318  653]]

 [[2330  643]]

 [[2335  642]]

 [[2342  649]]

 [[2342  659]]

 [[2345  661]]

 [[2353  661]]

 [[2357  657]]

 [[2357  649]]

 [[2352  643]]

 [[2351  639]]

 [[2341  629]]

 [[2338  619]]

 [[2334  617]]

 [[2327  618]]

 [[2326  627]]

 [[2324  629]]

 [[2318  622]]

 [[2315  621]]

 [[2314  613]]

 [[2309  609]]

 [[2318  608]]

 [[2321  605]]

 [[2321  601]]

 [[2315  598]]

 [[2313  593]]

 [[2309  591]]

 [[2310  579]]

 [[2308  576]]

 [[2307  566]]

 [[2311  565]]

 [[2316  560]]

 [[2318  552]]

 [[2318  540]]

 [[2315  537]]

 [[2315  535]]

 [[2320  531]]

 [[2321  525]]

 [[2333  514]]

 [[2336  509]]

 [[2337  502]]

 [[2339  501]]

 [[2340  507]]

 [[2345  511]]

 [[2349  511]]

 [[2351  516]]

 [[2357  518]]

 [[2353  533]]

 [[2347  543]]

 [[2347  552]]

 [[2353  555]]

 [[2355  560]]

 [[2364  568]]

 [[2364  586]]

 [[2370  591]]

 [[2376  590]]

 [[2378  585]]

 [[2378  564]]

 [[2385  570]]

 [[2392  573]]

 [[2397  573]]

 [[2401  569]]

 [[2401  564]]

 [[2396  556]]

 [[2394  549]]

 [[2394  542]]

 [[2389  529]]

 [[2388  522]]

 [[2391  520]]

 [[2394  524]]

 [[2401  525]]

 [[2406  521]]

 [[2405  514]]

 [[2397  510]]

 [[2393  511]]

 [[2391  514]]

 [[2387  512]]

 [[2387  510]]

 [[2378  501]]

 [[2375  495]]

 [[2372  494]]

 [[2375  487]]

 [[2375  482]]

 [[2371  478]]

 [[2353  484]]

 [[2349  482]]

 [[2336  483]]

 [[2334  481]]

 [[2327  480]]

 [[2322  484]]

 [[2321  490]]

 [[2322  492]]

 [[2329  494]]

 [[2331  497]]

 [[2324  498]]

 [[2319  504]]

 [[2307  507]]

 [[2304  500]]

 [[2314  499]]

 [[2318  494]]

 [[2317  488]]

 [[2314  484]]

 [[2314  474]]

 [[2312  474]]

 [[2308  470]]

 [[2301  470]]

 [[2298  473]]

 [[2296  485]]

 [[2291  491]]

 [[2289  499]]

 [[2274  509]]

 [[2269  504]]

 [[2265  504]]

 [[2262  507]]

 [[2263  514]]

 [[2260  517]]

 [[2239  527]]

 [[2226  526]]

 [[2227  517]]

 [[2224  509]]

 [[2228  508]]

 [[2231  505]]

 [[2231  501]]

 [[2227  497]]

 [[2223  497]]

 [[2220  500]]

 [[2220  505]]

 [[2222  507]]

 [[2221  509]]

 [[2195  507]]

 [[2191  509]]]","[2307, 563]",16740.0
10,"[[[2589  638]]

 [[2584  634]]

 [[2577  635]]

 [[2567  639]]

 [[2566  645]]

 [[2564  647]]

 [[2552  647]]

 [[2545  652]]

 [[2537  655]]

 [[2507  655]]

 [[2501  661]]

 [[2500  671]]

 [[2489  684]]

 [[2485  694]]

 [[2485  698]]

 [[2494  706]]

 [[2501  705]]

 [[2503  701]]

 [[2503  689]]

 [[2508  679]]

 [[2521  675]]

 [[2523  673]]

 [[2531  672]]

 [[2539  667]]

 [[2546  666]]

 [[2555  661]]

 [[2563  659]]

 [[2567  660]]

 [[2571  658]]

 [[2574  652]]

 [[2580  650]]

 [[2587  645]]]","[2530, 665]",1908.5
11,"[[[2691  613]]

 [[2683  617]]

 [[2679  621]]

 [[2678  630]]

 [[2691  646]]

 [[2695  648]]

 [[2701  648]]

 [[2705  645]]

 [[2706  637]]

 [[2704  635]]

 [[2704  625]]

 [[2695  613]]]","[2692, 630]",680.5
12,"[[[2576  586]]

 [[2570  596]]

 [[2571  605]]

 [[2580  611]]

 [[2581  615]]

 [[2593  629]]

 [[2597  631]]

 [[2604  629]]

 [[2609  614]]

 [[2608  602]]

 [[2595  596]]

 [[2592  593]]

 [[2592  589]]

 [[2590  586]]

 [[2584  584]]]","[2590, 606]",1097.5
13,"[[[2538  581]]

 [[2533  581]]

 [[2530  584]]

 [[2532  596]]

 [[2536  599]]

 [[2535  607]]

 [[2537  610]]

 [[2537  618]]

 [[2532  621]]

 [[2522  622]]

 [[2518  624]]

 [[2516  627]]

 [[2516  634]]

 [[2520  645]]

 [[2528  650]]

 [[2535  649]]

 [[2537  640]]

 [[2542  635]]

 [[2542  622]]

 [[2549  621]]

 [[2552  618]]

 [[2552  612]]

 [[2549  608]]

 [[2548  603]]

 [[2541  597]]

 [[2541  585]]]","[2534, 620]",1061.5
