,contour,moments,area_pixels
0,"[[[880 613]]

 [[873 605]]

 [[868 604]]

 [[867 602]]

 [[862 600]]

 [[831 598]]

 [[830 601]]

 [[826 600]]

 [[819 603]]

 [[805 604]]

 [[801 607]]

 [[797 607]]

 [[791 612]]

 [[787 612]]

 [[785 615]]

 [[781 615]]

 [[779 618]]

 [[775 620]]

 [[775 623]]

 [[773 625]]

 [[767 626]]

 [[767 628]]

 [[764 629]]

 [[762 632]]

 [[759 632]]

 [[750 640]]

 [[748 640]]

 [[744 644]]

 [[743 648]]

 [[739 651]]

 [[739 653]]

 [[736 654]]

 [[736 657]]

 [[732 661]]

 [[732 665]]

 [[734 668]]

 [[751 677]]

 [[773 695]]

 [[800 704]]

 [[811 706]]

 [[817 705]]

 [[825 700]]

 [[841 695]]

 [[850 686]]

 [[856 674]]

 [[860 670]]

 [[868 656]]

 [[868 652]]

 [[872 649]]

 [[879 632]]

 [[879 626]]

 [[882 621]]]","[812, 650]",10590.0
1,"[[[ 946  654]]

 [[ 947  658]]

 [[ 955  660]]

 [[ 957  662]]

 [[ 956  666]]

 [[ 960  667]]

 [[ 966  673]]

 [[ 967  676]]

 [[ 980  688]]

 [[ 993  694]]

 [[1006  695]]

 [[1005  692]]

 [[ 999  688]]

 [[ 999  684]]

 [[1006  679]]

 [[1006  669]]

 [[ 997  673]]

 [[ 979  673]]

 [[ 971  669]]

 [[ 963  656]]

 [[ 952  653]]]","[981, 676]",819.5
2,"[[[ 907  602]]

 [[ 906  610]]

 [[ 909  614]]

 [[ 907  624]]

 [[ 913  630]]

 [[ 923  635]]

 [[ 930  642]]

 [[ 934  640]]

 [[ 936  634]]

 [[ 961  641]]

 [[ 967  650]]

 [[ 976  658]]

 [[ 977  661]]

 [[ 989  665]]

 [[1007  661]]

 [[1007  659]]

 [[1010  656]]

 [[1011  638]]

 [[1005  631]]

 [[1005  627]]

 [[1001  622]]

 [[ 996  621]]

 [[ 991  616]]

 [[ 984  602]]

 [[ 976  596]]

 [[ 971  595]]

 [[ 968  592]]

 [[ 941  593]]

 [[ 937  591]]

 [[ 920  592]]

 [[ 911  598]]

 [[ 909  602]]]","[960, 623]",4754.0
3,"[[[1107  591]]

 [[1104  608]]

 [[1099  618]]

 [[1108  621]]

 [[1135  619]]

 [[1145  622]]

 [[1160  637]]

 [[1162  644]]

 [[1177  655]]

 [[1180  666]]

 [[1180  664]]

 [[1183  662]]

 [[1184  658]]

 [[1190  651]]

 [[1192  646]]

 [[1192  638]]

 [[1190  634]]

 [[1191  625]]

 [[1203  610]]

 [[1196  607]]

 [[1195  605]]

 [[1189  604]]

 [[1176  592]]

 [[1172  583]]

 [[1170  582]]

 [[1170  578]]

 [[1167  573]]

 [[1161  572]]

 [[1146  584]]

 [[1139  585]]

 [[1134  588]]

 [[1123  589]]

 [[1118  591]]]","[1156, 612]",4183.5
4,"[[[1100  580]]

 [[1096  577]]

 [[1087  576]]

 [[1086  574]]

 [[1080  572]]

 [[1067  572]]

 [[1055  574]]

 [[1054  576]]

 [[1047  576]]

 [[1041  580]]

 [[1029  582]]

 [[1028  588]]

 [[1023  593]]

 [[1021  607]]

 [[1017  611]]

 [[1017  614]]

 [[1015  616]]

 [[1016  632]]

 [[1019  636]]

 [[1020  644]]

 [[1023  647]]

 [[1031  647]]

 [[1039  644]]

 [[1042  641]]

 [[1049  638]]

 [[1050  636]]

 [[1055  636]]

 [[1059  634]]

 [[1060  632]]

 [[1080  621]]

 [[1082  618]]

 [[1087  617]]

 [[1092  612]]

 [[1098  600]]

 [[1100  592]]]","[1055, 605]",4315.5
5,"[[[1151  552]]

 [[1143  552]]

 [[1142  556]]

 [[1138  559]]

 [[1135  559]]

 [[1133  562]]

 [[1127  564]]

 [[1126  567]]

 [[1121  567]]

 [[1118  564]]

 [[1112  564]]

 [[1108  570]]

 [[1108  574]]

 [[1117  573]]

 [[1120  577]]

 [[1120  580]]

 [[1123  580]]

 [[1131  576]]

 [[1145  575]]

 [[1151  568]]]","[1133, 567]",611.5
6,"[[[1461  715]]

 [[1456  711]]

 [[1441  711]]

 [[1433  714]]

 [[1425  721]]

 [[1424  727]]

 [[1415  736]]

 [[1415  740]]

 [[1418  743]]

 [[1425  743]]

 [[1429  740]]

 [[1435  739]]

 [[1438  737]]

 [[1439  732]]

 [[1442  731]]

 [[1447  725]]

 [[1450  725]]

 [[1454  728]]

 [[1462  727]]

 [[1463  720]]

 [[1461  718]]]","[1438, 725]",820.5
7,"[[[1414  706]]

 [[1411  704]]

 [[1403  705]]

 [[1401  715]]

 [[1390  717]]

 [[1383  723]]

 [[1384  730]]

 [[1392  732]]

 [[1399  724]]

 [[1406  724]]

 [[1411  727]]

 [[1417  726]]

 [[1418  719]]

 [[1414  715]]]","[1401, 718]",492.5
8,"[[[1234  666]]

 [[1235  676]]

 [[1244  683]]

 [[1246  694]]

 [[1254  701]]

 [[1264  702]]

 [[1274  696]]

 [[1277  690]]

 [[1277  683]]

 [[1275  679]]

 [[1268  677]]

 [[1258  681]]

 [[1255  678]]

 [[1254  673]]

 [[1248  668]]

 [[1246  664]]

 [[1238  663]]]","[1255, 684]",894.5
9,"[[[1397  580]]

 [[1397  583]]

 [[1400  584]]

 [[1410  596]]

 [[1418  602]]

 [[1429  600]]

 [[1433  605]]

 [[1441  605]]

 [[1444  602]]

 [[1444  596]]

 [[1448  596]]

 [[1451  599]]

 [[1475  599]]

 [[1490  587]]

 [[1491  580]]

 [[1493  579]]

 [[1494  566]]

 [[1492  565]]

 [[1489  559]]

 [[1476  548]]

 [[1454  544]]

 [[1431  544]]

 [[1424  547]]

 [[1413  557]]

 [[1408  559]]]","[1446, 573]",4395.0
