,contour,moments,area_pixels
0,"[[[563 971]]

 [[561 966]]

 [[554 966]]

 [[549 963]]

 [[538 962]]

 [[537 960]]

 [[534 960]]

 [[525 968]]

 [[523 968]]

 [[522 971]]

 [[514 975]]

 [[511 975]]

 [[509 979]]

 [[520 982]]

 [[528 978]]

 [[537 978]]

 [[542 975]]

 [[560 973]]]","[536, 971]",563.5
1,"[[[436 901]]

 [[436 906]]

 [[439 909]]

 [[445 928]]

 [[449 930]]

 [[454 940]]

 [[456 941]]

 [[457 949]]

 [[461 953]]

 [[465 954]]

 [[479 954]]

 [[479 949]]

 [[469 943]]

 [[466 939]]

 [[463 938]]

 [[449 926]]

 [[447 921]]

 [[447 914]]

 [[449 911]]

 [[448 902]]

 [[441 899]]]","[455, 931]",546.0
2,"[[[222 957]]

 [[226 964]]

 [[239 967]]

 [[247 967]]

 [[240 959]]

 [[241 956]]

 [[244 956]]

 [[245 954]]

 [[249 954]]

 [[251 956]]

 [[262 956]]

 [[281 943]]

 [[295 942]]

 [[299 946]]

 [[309 947]]

 [[312 950]]

 [[320 953]]

 [[328 961]]

 [[332 962]]

 [[350 946]]

 [[356 944]]

 [[366 944]]

 [[370 949]]

 [[370 956]]

 [[365 968]]

 [[361 972]]

 [[361 978]]

 [[366 978]]

 [[367 980]]

 [[379 984]]

 [[388 990]]

 [[394 992]]

 [[402 992]]

 [[404 994]]

 [[419 994]]

 [[425 991]]

 [[438 990]]

 [[441 985]]

 [[446 985]]

 [[448 987]]

 [[451 985]]

 [[455 985]]

 [[459 988]]

 [[463 987]]

 [[463 985]]

 [[460 984]]

 [[459 981]]

 [[453 982]]

 [[451 980]]

 [[439 978]]

 [[431 975]]

 [[427 970]]

 [[426 960]]

 [[428 957]]

 [[421 952]]

 [[422 947]]

 [[433 944]]

 [[438 946]]

 [[445 946]]

 [[446 944]]

 [[445 938]]

 [[435 928]]

 [[432 915]]

 [[429 909]]

 [[426 908]]

 [[415 910]]

 [[402 910]]

 [[379 908]]

 [[377 910]]

 [[368 910]]

 [[363 913]]

 [[360 917]]

 [[355 918]]

 [[354 920]]

 [[349 920]]

 [[341 910]]

 [[337 896]]

 [[328 899]]

 [[314 909]]

 [[301 912]]

 [[297 916]]

 [[293 917]]

 [[292 924]]

 [[289 928]]

 [[287 928]]

 [[285 924]]

 [[275 926]]

 [[267 930]]

 [[265 933]]

 [[263 933]]

 [[260 938]]

 [[257 939]]

 [[253 944]]

 [[236 948]]

 [[236 951]]

 [[238 952]]

 [[237 955]]

 [[234 955]]

 [[233 952]]

 [[230 950]]

 [[229 952]]

 [[224 953]]]","[362, 943]",9600.5
3,"[[[456 911]]

 [[456 916]]

 [[458 920]]

 [[467 930]]

 [[496 950]]

 [[504 947]]

 [[504 944]]

 [[507 940]]

 [[515 942]]

 [[523 938]]

 [[529 938]]

 [[537 942]]

 [[540 946]]

 [[540 948]]

 [[537 950]]

 [[544 951]]

 [[550 954]]

 [[562 954]]

 [[580 947]]

 [[593 948]]

 [[593 937]]

 [[587 933]]

 [[579 934]]

 [[578 928]]

 [[574 928]]

 [[566 935]]

 [[557 938]]

 [[554 933]]

 [[544 926]]

 [[541 919]]

 [[541 914]]

 [[537 910]]

 [[524 912]]

 [[513 919]]

 [[497 920]]

 [[495 922]]

 [[492 921]]

 [[490 918]]

 [[491 909]]

 [[499 908]]

 [[505 904]]

 [[509 904]]

 [[518 900]]

 [[526 900]]

 [[530 897]]

 [[535 897]]

 [[542 899]]

 [[547 903]]

 [[551 903]]

 [[552 897]]

 [[545 890]]

 [[545 887]]

 [[540 883]]

 [[530 880]]

 [[528 878]]

 [[523 878]]

 [[514 883]]

 [[511 883]]

 [[496 892]]

 [[486 895]]

 [[485 897]]

 [[481 897]]

 [[466 902]]]","[517, 920]",4498.0
4,"[[[556 869]]

 [[556 871]]

 [[560 870]]

 [[565 876]]

 [[564 883]]

 [[562 884]]

 [[561 888]]

 [[563 898]]

 [[565 900]]

 [[565 909]]

 [[562 913]]

 [[562 915]]

 [[564 916]]

 [[583 912]]

 [[582 907]]

 [[585 904]]

 [[587 904]]

 [[594 910]]

 [[593 915]]

 [[595 915]]

 [[596 917]]

 [[606 916]]

 [[609 922]]

 [[614 922]]

 [[615 924]]

 [[627 922]]

 [[630 918]]

 [[630 915]]

 [[633 912]]

 [[638 912]]

 [[641 916]]

 [[648 918]]

 [[651 917]]

 [[652 912]]

 [[665 912]]

 [[666 915]]

 [[662 917]]

 [[662 919]]

 [[664 921]]

 [[671 921]]

 [[673 923]]

 [[680 921]]

 [[676 917]]

 [[677 914]]

 [[683 913]]

 [[686 910]]

 [[693 910]]

 [[694 919]]

 [[705 918]]

 [[705 925]]

 [[707 923]]

 [[711 924]]

 [[712 928]]

 [[714 928]]

 [[717 932]]

 [[716 925]]

 [[711 919]]

 [[709 910]]

 [[700 898]]

 [[689 895]]

 [[685 900]]

 [[674 900]]

 [[673 898]]

 [[670 898]]

 [[654 886]]

 [[644 893]]

 [[636 902]]

 [[629 904]]

 [[628 906]]

 [[622 906]]

 [[621 904]]

 [[615 904]]

 [[611 898]]

 [[611 893]]

 [[600 892]]

 [[590 888]]

 [[569 872]]

 [[565 867]]

 [[559 866]]]","[627, 903]",3360.0
5,"[[[570 857]]

 [[570 860]]

 [[578 866]]

 [[582 866]]

 [[588 869]]

 [[605 868]]

 [[614 875]]

 [[622 875]]

 [[624 877]]

 [[630 874]]

 [[630 872]]

 [[626 868]]

 [[606 862]]

 [[600 863]]

 [[582 856]]

 [[580 854]]

 [[572 853]]]","[598, 865]",512.0
6,"[[[319 843]]

 [[320 847]]

 [[326 848]]

 [[330 852]]

 [[332 852]]

 [[342 859]]

 [[345 867]]

 [[343 879]]

 [[347 885]]

 [[354 888]]

 [[377 888]]

 [[379 890]]

 [[388 890]]

 [[412 898]]

 [[426 898]]

 [[434 892]]

 [[449 894]]

 [[461 893]]

 [[466 890]]

 [[470 890]]

 [[477 888]]

 [[478 886]]

 [[485 885]]

 [[492 881]]

 [[502 879]]

 [[513 873]]

 [[513 870]]

 [[507 865]]

 [[507 858]]

 [[512 857]]

 [[514 855]]

 [[512 851]]

 [[514 847]]

 [[525 848]]

 [[524 852]]

 [[517 855]]

 [[520 858]]

 [[519 862]]

 [[523 865]]

 [[525 865]]

 [[525 862]]

 [[528 857]]

 [[535 855]]

 [[538 846]]

 [[535 844]]

 [[524 842]]

 [[515 843]]

 [[496 841]]

 [[492 843]]

 [[489 848]]

 [[478 848]]

 [[474 850]]

 [[474 854]]

 [[471 855]]

 [[469 852]]

 [[462 853]]

 [[459 850]]

 [[459 845]]

 [[447 838]]

 [[406 833]]

 [[397 831]]

 [[389 827]]

 [[378 826]]

 [[373 824]]

 [[356 828]]

 [[355 831]]

 [[351 831]]

 [[342 835]]

 [[336 835]]

 [[326 838]]]","[418, 861]",9475.0
7,"[[[572 825]]

 [[572 829]]

 [[575 832]]

 [[577 838]]

 [[581 840]]

 [[583 843]]

 [[587 843]]

 [[588 845]]

 [[606 850]]

 [[621 856]]

 [[637 855]]

 [[639 857]]

 [[663 859]]

 [[669 854]]

 [[674 844]]

 [[676 843]]

 [[676 836]]

 [[672 833]]

 [[671 830]]

 [[667 829]]

 [[663 825]]

 [[656 825]]

 [[653 823]]

 [[643 821]]

 [[624 810]]

 [[602 801]]

 [[596 796]]

 [[593 796]]

 [[588 799]]

 [[587 803]]

 [[595 808]]

 [[597 811]]

 [[597 815]]

 [[595 817]]

 [[588 817]]

 [[587 823]]

 [[582 823]]

 [[578 821]]

 [[574 825]]]","[623, 832]",3631.0
8,"[[[484 777]]

 [[485 783]]

 [[495 790]]

 [[498 802]]

 [[503 809]]

 [[522 815]]

 [[529 822]]

 [[529 824]]

 [[535 827]]

 [[541 826]]

 [[549 821]]

 [[554 811]]

 [[564 804]]

 [[571 803]]

 [[576 798]]

 [[579 791]]

 [[575 775]]

 [[573 774]]

 [[550 778]]

 [[530 788]]

 [[523 789]]

 [[515 787]]

 [[509 779]]

 [[509 776]]

 [[503 771]]

 [[496 768]]

 [[491 769]]]","[533, 795]",2892.0
9,"[[[279 802]]

 [[280 817]]

 [[284 822]]

 [[287 822]]

 [[289 826]]

 [[299 828]]

 [[312 828]]

 [[322 825]]

 [[332 825]]

 [[337 822]]

 [[347 820]]

 [[348 818]]

 [[354 816]]

 [[367 814]]

 [[387 815]]

 [[393 818]]

 [[404 821]]

 [[410 821]]

 [[416 824]]

 [[435 825]]

 [[441 827]]

 [[449 825]]

 [[456 826]]

 [[461 822]]

 [[483 817]]

 [[489 813]]

 [[488 806]]

 [[482 794]]

 [[470 781]]

 [[470 776]]

 [[476 766]]

 [[483 759]]

 [[485 751]]

 [[483 747]]

 [[478 743]]

 [[469 742]]

 [[458 747]]

 [[449 749]]

 [[448 751]]

 [[440 754]]

 [[433 759]]

 [[412 759]]

 [[403 755]]

 [[385 752]]

 [[367 744]]

 [[361 743]]

 [[352 738]]

 [[337 735]]

 [[330 731]]

 [[316 730]]

 [[313 731]]

 [[305 739]]

 [[304 751]]

 [[301 753]]

 [[299 762]]

 [[300 778]]

 [[302 781]]

 [[300 794]]

 [[294 798]]

 [[281 799]]]","[382, 784]",14126.0
10,"[[[777 929]]

 [[769 925]]

 [[762 924]]

 [[761 922]]

 [[745 922]]

 [[739 923]]

 [[738 925]]

 [[734 925]]

 [[730 927]]

 [[726 932]]

 [[727 943]]

 [[725 952]]

 [[728 956]]

 [[734 957]]

 [[746 951]]

 [[751 951]]

 [[770 939]]

 [[776 933]]]","[747, 937]",1205.0
11,"[[[952 889]]

 [[949 884]]

 [[945 881]]

 [[945 879]]

 [[941 876]]

 [[935 875]]

 [[932 871]]

 [[928 872]]

 [[928 874]]

 [[924 877]]

 [[907 878]]

 [[902 871]]

 [[899 860]]

 [[891 856]]

 [[885 856]]

 [[870 860]]

 [[864 860]]

 [[856 864]]

 [[851 864]]

 [[850 866]]

 [[842 868]]

 [[821 880]]

 [[817 885]]

 [[805 893]]

 [[794 893]]

 [[792 891]]

 [[781 888]]

 [[772 888]]

 [[765 886]]

 [[756 888]]

 [[744 888]]

 [[739 891]]

 [[739 897]]

 [[742 901]]

 [[746 903]]

 [[746 908]]

 [[739 906]]

 [[734 908]]

 [[733 911]]

 [[729 913]]

 [[728 908]]

 [[730 906]]

 [[727 906]]

 [[726 902]]

 [[719 903]]

 [[719 907]]

 [[722 916]]

 [[728 920]]

 [[730 918]]

 [[737 918]]

 [[741 915]]

 [[753 913]]

 [[764 914]]

 [[776 918]]

 [[778 920]]

 [[786 917]]

 [[802 919]]

 [[808 916]]

 [[813 916]]

 [[815 914]]

 [[828 911]]

 [[844 912]]

 [[855 908]]

 [[883 906]]

 [[887 904]]

 [[892 904]]

 [[901 913]]

 [[905 920]]

 [[911 925]]

 [[913 918]]

 [[913 903]]

 [[916 898]]

 [[923 895]]

 [[926 892]]

 [[926 889]]

 [[929 888]]

 [[929 886]]

 [[922 886]]

 [[925 878]]

 [[932 878]]

 [[933 880]]

 [[936 880]]

 [[938 882]]

 [[938 885]]

 [[933 887]]

 [[932 889]]

 [[937 889]]

 [[944 892]]]","[841, 892]",6965.0
12,"[[[676 876]]

 [[680 879]]

 [[690 874]]

 [[699 873]]

 [[705 870]]

 [[706 868]]

 [[715 867]]

 [[722 870]]

 [[727 876]]

 [[727 878]]

 [[730 879]]

 [[773 879]]

 [[775 871]]

 [[786 873]]

 [[786 870]]

 [[780 858]]

 [[775 839]]

 [[766 843]]

 [[758 834]]

 [[719 835]]

 [[710 830]]

 [[706 824]]

 [[704 824]]

 [[698 829]]

 [[691 844]]

 [[685 852]]

 [[683 867]]

 [[676 873]]]","[732, 855]",3852.0
13,"[[[777 782]]

 [[774 781]]

 [[769 772]]

 [[763 770]]

 [[753 772]]

 [[749 775]]

 [[736 777]]

 [[730 782]]

 [[727 782]]

 [[727 784]]

 [[721 787]]

 [[720 789]]

 [[713 792]]

 [[695 793]]

 [[683 803]]

 [[682 807]]

 [[679 810]]

 [[683 816]]

 [[683 824]]

 [[687 827]]

 [[695 824]]

 [[706 807]]

 [[708 807]]

 [[712 811]]

 [[720 824]]

 [[728 821]]

 [[741 822]]

 [[752 820]]

 [[764 820]]

 [[769 822]]

 [[772 820]]

 [[772 802]]

 [[775 795]]]","[734, 800]",3315.5
14,"[[[844 762]]

 [[845 769]]

 [[847 771]]

 [[870 770]]

 [[877 776]]

 [[883 785]]

 [[888 783]]

 [[892 784]]

 [[893 786]]

 [[898 786]]

 [[902 780]]

 [[901 773]]

 [[904 762]]

 [[898 759]]

 [[881 756]]

 [[878 754]]

 [[859 755]]

 [[856 757]]

 [[849 757]]]","[877, 767]",1142.5
15,"[[[785 764]]

 [[780 774]]

 [[785 775]]

 [[789 778]]

 [[791 786]]

 [[797 793]]

 [[795 797]]

 [[785 796]]

 [[781 798]]

 [[785 819]]

 [[787 821]]

 [[785 846]]

 [[788 849]]

 [[788 860]]

 [[791 867]]

 [[800 879]]

 [[805 880]]

 [[816 870]]

 [[819 870]]

 [[821 864]]

 [[829 864]]

 [[841 857]]

 [[858 852]]

 [[884 848]]

 [[898 849]]

 [[902 846]]

 [[905 846]]

 [[907 849]]

 [[907 855]]

 [[910 865]]

 [[912 865]]

 [[917 862]]

 [[917 860]]

 [[927 851]]

 [[927 847]]

 [[923 843]]

 [[914 838]]

 [[913 836]]

 [[907 835]]

 [[898 826]]

 [[896 817]]

 [[896 802]]

 [[890 802]]

 [[888 798]]

 [[885 798]]

 [[884 800]]

 [[875 803]]

 [[871 799]]

 [[870 792]]

 [[864 789]]

 [[851 789]]

 [[849 787]]

 [[828 789]]

 [[825 786]]

 [[827 778]]

 [[831 776]]

 [[831 772]]

 [[829 771]]

 [[827 764]]

 [[833 760]]

 [[833 756]]

 [[823 746]]

 [[814 745]]

 [[812 747]]

 [[809 747]]

 [[793 761]]

 [[789 762]]

 [[788 764]]]","[835, 818]",9636.0
16,"[[[827 680]]

 [[823 673]]

 [[816 668]]

 [[799 666]]

 [[782 667]]

 [[754 673]]

 [[750 672]]

 [[722 676]]

 [[697 676]]

 [[694 678]]

 [[687 678]]

 [[687 680]]

 [[683 682]]

 [[676 690]]

 [[671 704]]

 [[671 713]]

 [[668 725]]

 [[660 739]]

 [[646 748]]

 [[608 754]]

 [[603 760]]

 [[595 761]]

 [[593 763]]

 [[592 770]]

 [[590 773]]

 [[591 781]]

 [[594 784]]

 [[608 789]]

 [[609 791]]

 [[617 791]]

 [[619 796]]

 [[638 807]]

 [[650 812]]

 [[658 812]]

 [[664 806]]

 [[665 803]]

 [[672 796]]

 [[674 796]]

 [[674 794]]

 [[685 783]]

 [[692 780]]

 [[704 778]]

 [[715 779]]

 [[733 768]]

 [[736 768]]

 [[740 765]]

 [[757 759]]

 [[775 759]]

 [[786 753]]

 [[808 736]]

 [[816 720]]

 [[822 702]]

 [[825 700]]

 [[828 694]]

 [[829 689]]]","[717, 732]",17650.5
