,contour,moments,area_pixels
0,"[[[1157  702]]

 [[1159  709]]

 [[1173  710]]

 [[1185  713]]

 [[1230  713]]

 [[1234  711]]

 [[1233  703]]

 [[1220  703]]

 [[1213  699]]

 [[1186  701]]

 [[1170  696]]

 [[1165  696]]

 [[1159  698]]]","[1194, 705]",924.0
1,"[[[1033  648]]

 [[1025  640]]

 [[1025  638]]

 [[1018  632]]

 [[1011  632]]

 [[1009  636]]

 [[1009  642]]

 [[1011  643]]

 [[1011  646]]

 [[1005  653]]

 [[ 994  653]]

 [[ 991  648]]

 [[ 970  645]]

 [[ 966  647]]

 [[ 962  652]]

 [[ 959  661]]

 [[ 956  662]]

 [[ 956  667]]

 [[ 943  675]]

 [[ 937  688]]

 [[ 949  698]]

 [[ 972  700]]

 [[ 981  704]]

 [[ 993  702]]

 [[1003  698]]

 [[1010  693]]

 [[1013  687]]

 [[1010  679]]

 [[1011  669]]

 [[1017  667]]

 [[1024  672]]

 [[1033  668]]]","[986, 671]",3875.0
2,"[[[1283  514]]

 [[1278  508]]

 [[1271  506]]

 [[1257  508]]

 [[1254  512]]

 [[1252  512]]

 [[1252  517]]

 [[1238  515]]

 [[1233  511]]

 [[1227  509]]

 [[1221  514]]

 [[1214  515]]

 [[1212  518]]

 [[1203  522]]

 [[1199  526]]

 [[1190  529]]

 [[1184  535]]

 [[1183  539]]

 [[1174  553]]

 [[1173  559]]

 [[1170  561]]

 [[1165  561]]

 [[1163  559]]

 [[1163  556]]

 [[1153  557]]

 [[1119  551]]

 [[1097  553]]

 [[1077  559]]

 [[1052  578]]

 [[1039  592]]

 [[1030  610]]

 [[1027  612]]

 [[1027  616]]

 [[1024  622]]

 [[1025  630]]

 [[1028  636]]

 [[1037  643]]

 [[1038  648]]

 [[1047  649]]

 [[1053  653]]

 [[1071  654]]

 [[1076  652]]

 [[1094  650]]

 [[1108  650]]

 [[1118  644]]

 [[1140  625]]

 [[1147  622]]

 [[1150  618]]

 [[1160  612]]

 [[1169  603]]

 [[1173  597]]

 [[1177  584]]

 [[1176  578]]

 [[1179  569]]

 [[1182  569]]

 [[1188  575]]

 [[1188  584]]

 [[1190  582]]

 [[1193  582]]

 [[1213  567]]

 [[1223  565]]

 [[1231  561]]

 [[1235  561]]

 [[1258  551]]

 [[1263  546]]

 [[1271  544]]

 [[1275  541]]

 [[1280  528]]

 [[1284  524]]]","[1137, 583]",15736.5
3,"[[[1657  441]]

 [[1654  443]]

 [[1652  447]]

 [[1653  456]]

 [[1655  460]]

 [[1661  461]]

 [[1666  464]]

 [[1666  473]]

 [[1660  478]]

 [[1660  485]]

 [[1667  494]]

 [[1673  495]]

 [[1676  492]]

 [[1676  484]]

 [[1674  477]]

 [[1680  474]]

 [[1682  471]]

 [[1682  465]]

 [[1680  462]]

 [[1681  453]]

 [[1677  449]]

 [[1667  449]]

 [[1663  442]]]","[1668, 465]",890.5
4,"[[[1804  294]]

 [[1800  293]]

 [[1792  297]]

 [[1787  304]]

 [[1787  312]]

 [[1774  321]]

 [[1772  324]]

 [[1772  331]]

 [[1776  338]]

 [[1783  338]]

 [[1785  336]]

 [[1785  330]]

 [[1796  324]]

 [[1805  316]]

 [[1808  304]]]","[1790, 315]",793.0
5,"[[[1898  261]]

 [[1895  263]]

 [[1895  270]]

 [[1897  272]]

 [[1915  276]]

 [[1917  283]]

 [[1914  285]]

 [[1913  289]]

 [[1914  305]]

 [[1910  307]]

 [[1893  309]]

 [[1890  315]]

 [[1893  319]]

 [[1902  320]]

 [[1908  325]]

 [[1913  325]]

 [[1918  319]]

 [[1926  320]]

 [[1930  315]]

 [[1930  309]]

 [[1927  302]]

 [[1927  285]]

 [[1935  279]]

 [[1938  285]]

 [[1943  290]]

 [[1949  290]]

 [[1951  289]]

 [[1954  283]]

 [[1954  277]]

 [[1950  273]]

 [[1938  273]]

 [[1934  275]]

 [[1931  268]]

 [[1925  264]]]","[1919, 290]",1661.5
6,"[[[1850  249]]

 [[1842  249]]

 [[1839  256]]

 [[1833  262]]

 [[1830  261]]

 [[1828  255]]

 [[1817  254]]

 [[1813  257]]

 [[1807  266]]

 [[1808  281]]

 [[1814  291]]

 [[1812  301]]

 [[1813  317]]

 [[1802  329]]

 [[1802  341]]

 [[1805  345]]

 [[1810  346]]

 [[1814  349]]

 [[1822  348]]

 [[1827  339]]

 [[1828  330]]

 [[1831  328]]

 [[1837  328]]

 [[1840  324]]

 [[1840  321]]

 [[1835  316]]

 [[1831  316]]

 [[1828  313]]

 [[1828  309]]

 [[1830  306]]

 [[1830  294]]

 [[1827  286]]

 [[1832  284]]

 [[1835  278]]

 [[1844  279]]

 [[1838  294]]

 [[1838  302]]

 [[1845  309]]

 [[1845  313]]

 [[1842  319]]

 [[1844  324]]

 [[1848  327]]

 [[1856  326]]

 [[1860  329]]

 [[1865  330]]

 [[1870  340]]

 [[1873  342]]

 [[1877  342]]

 [[1880  338]]

 [[1879  331]]

 [[1883  327]]

 [[1883  322]]

 [[1880  319]]

 [[1874  319]]

 [[1867  309]]

 [[1863  307]]

 [[1858  307]]

 [[1853  302]]

 [[1853  284]]

 [[1858  281]]

 [[1860  277]]

 [[1860  270]]

 [[1857  267]]

 [[1855  267]]

 [[1852  263]]

 [[1852  253]]]","[1835, 300]",3822.5
7,"[[[2178  466]]

 [[2174  467]]

 [[2171  471]]

 [[2163  472]]

 [[2161  474]]

 [[2161  478]]

 [[2168  482]]

 [[2165  490]]

 [[2158  496]]

 [[2158  503]]

 [[2161  510]]

 [[2166  511]]

 [[2169  509]]

 [[2170  505]]

 [[2177  496]]

 [[2183  483]]

 [[2184  473]]

 [[2182  468]]]","[2170, 487]",678.5
8,"[[[2095  463]]

 [[2092  467]]

 [[2092  473]]

 [[2095  476]]

 [[2095  478]]

 [[2093  479]]

 [[2093  494]]

 [[2101  499]]

 [[2103  503]]

 [[2107  505]]

 [[2112  503]]

 [[2115  498]]

 [[2124  502]]

 [[2127  501]]

 [[2129  497]]

 [[2128  493]]

 [[2124  492]]

 [[2123  489]]

 [[2120  487]]

 [[2109  486]]

 [[2105  482]]

 [[2104  478]]

 [[2101  476]]

 [[2101  474]]

 [[2104  471]]

 [[2103  464]]

 [[2100  462]]]","[2106, 487]",716.0
9,"[[[2230  399]]

 [[2225  399]]

 [[2222  401]]

 [[2223  409]]

 [[2229  412]]

 [[2228  416]]

 [[2217  424]]

 [[2201  430]]

 [[2197  435]]

 [[2197  441]]

 [[2199  443]]

 [[2207  443]]

 [[2214  438]]

 [[2236  428]]

 [[2238  425]]

 [[2237  416]]

 [[2234  413]]

 [[2230  412]]

 [[2233  407]]

 [[2233  402]]]","[2219, 425]",680.5
