,contour,moments,area_pixels
0,"[[[1199  674]]

 [[1197  677]]

 [[1197  681]]

 [[1201  685]]

 [[1201  693]]

 [[1203  697]]

 [[1206  698]]

 [[1212  705]]

 [[1210  708]]

 [[1211  716]]

 [[1221  718]]

 [[1222  726]]

 [[1230  726]]

 [[1231  720]]

 [[1225  716]]

 [[1224  707]]

 [[1218  705]]

 [[1219  697]]

 [[1213  693]]

 [[1210  686]]

 [[1205  682]]

 [[1205  676]]

 [[1203  674]]]","[1213, 701]",535.5
1,"[[[1056  643]]

 [[1053  645]]

 [[1051  652]]

 [[1048  656]]

 [[1048  664]]

 [[1051  670]]

 [[1051  683]]

 [[1049  694]]

 [[1051  697]]

 [[1064  695]]

 [[1067  698]]

 [[1073  697]]

 [[1073  692]]

 [[1066  687]]

 [[1066  683]]

 [[1063  679]]

 [[1062  645]]]","[1057, 673]",751.0
2,"[[[1336  667]]

 [[1335  671]]

 [[1343  679]]

 [[1347  680]]

 [[1345  685]]

 [[1345  690]]

 [[1347  692]]

 [[1356  692]]

 [[1358  689]]

 [[1358  683]]

 [[1360  682]]

 [[1363  685]]

 [[1365  691]]

 [[1371  694]]

 [[1373  701]]

 [[1381  702]]

 [[1383  700]]

 [[1382  694]]

 [[1376  690]]

 [[1376  685]]

 [[1371  680]]

 [[1370  672]]

 [[1358  671]]

 [[1357  668]]

 [[1349  665]]

 [[1338  665]]]","[1358, 681]",786.5
3,"[[[1463  549]]

 [[1459  548]]

 [[1454  542]]

 [[1450  541]]

 [[1448  537]]

 [[1441  537]]

 [[1439  540]]

 [[1436  554]]

 [[1432  562]]

 [[1432  566]]

 [[1428  570]]

 [[1428  576]]

 [[1430  580]]

 [[1433  582]]

 [[1441  582]]

 [[1442  594]]

 [[1436  595]]

 [[1426  586]]

 [[1421  587]]

 [[1419  591]]

 [[1419  597]]

 [[1422  600]]

 [[1439  609]]

 [[1442  615]]

 [[1446  618]]

 [[1445  620]]

 [[1439  621]]

 [[1433  616]]

 [[1424  613]]

 [[1419  614]]

 [[1415  610]]

 [[1407  611]]

 [[1407  606]]

 [[1402  601]]

 [[1399  595]]

 [[1398  583]]

 [[1402  579]]

 [[1402  572]]

 [[1399  569]]

 [[1393  569]]

 [[1388  577]]

 [[1388  585]]

 [[1383  590]]

 [[1381  604]]

 [[1377  608]]

 [[1370  609]]

 [[1367  612]]

 [[1366  625]]

 [[1369  626]]

 [[1369  631]]

 [[1378  633]]

 [[1384  627]]

 [[1386  619]]

 [[1392  613]]

 [[1396  612]]

 [[1399  614]]

 [[1404  613]]

 [[1408  621]]

 [[1412  621]]

 [[1418  624]]

 [[1420  627]]

 [[1424  629]]

 [[1426  633]]

 [[1430  635]]

 [[1430  648]]

 [[1434  652]]

 [[1441  651]]

 [[1447  644]]

 [[1447  641]]

 [[1450  637]]

 [[1454  636]]

 [[1457  639]]

 [[1467  638]]

 [[1469  635]]

 [[1469  630]]

 [[1462  620]]

 [[1471  615]]

 [[1480  605]]

 [[1483  599]]

 [[1483  594]]

 [[1480  591]]

 [[1475  591]]

 [[1469  594]]

 [[1461  601]]

 [[1458  600]]

 [[1454  578]]

 [[1461  577]]

 [[1464  574]]

 [[1463  568]]

 [[1467  563]]

 [[1467  558]]

 [[1465  556]]]","[1432, 599]",4940.0
4,"[[[1381  529]]

 [[1374  530]]

 [[1369  535]]

 [[1369  539]]

 [[1372  544]]

 [[1372  552]]

 [[1368  561]]

 [[1368  565]]

 [[1352  577]]

 [[1345  576]]

 [[1344  574]]

 [[1336  574]]

 [[1334  576]]

 [[1334  585]]

 [[1336  586]]

 [[1337  593]]

 [[1339  597]]

 [[1345  599]]

 [[1345  601]]

 [[1340  605]]

 [[1339  614]]

 [[1335  617]]

 [[1333  628]]

 [[1337  633]]

 [[1344  633]]

 [[1348  627]]

 [[1348  624]]

 [[1353  620]]

 [[1353  616]]

 [[1357  613]]

 [[1359  592]]

 [[1367  591]]

 [[1369  589]]

 [[1376  587]]

 [[1380  583]]

 [[1385  568]]

 [[1385  561]]

 [[1396  561]]

 [[1400  559]]

 [[1400  552]]

 [[1392  544]]

 [[1384  540]]

 [[1384  534]]]","[1362, 579]",2336.0
5,"[[[1413  472]]

 [[1409  474]]

 [[1408  479]]

 [[1414  490]]

 [[1408  494]]

 [[1403  504]]

 [[1403  508]]

 [[1409  512]]

 [[1415  510]]

 [[1419  504]]

 [[1420  495]]

 [[1423  495]]

 [[1426  501]]

 [[1432  502]]

 [[1434  506]]

 [[1433  508]]

 [[1424  510]]

 [[1421  513]]

 [[1418  519]]

 [[1418  525]]

 [[1412  530]]

 [[1411  550]]

 [[1415  555]]

 [[1421  555]]

 [[1424  552]]

 [[1425  542]]

 [[1428  539]]

 [[1435  536]]

 [[1437  533]]

 [[1442  531]]

 [[1444  528]]

 [[1444  515]]

 [[1441  507]]

 [[1447  500]]

 [[1447  496]]

 [[1444  492]]

 [[1433  488]]

 [[1418  473]]]","[1424, 511]",1831.0
6,"[[[1381  460]]

 [[1378  457]]

 [[1373  457]]

 [[1365  466]]

 [[1355  466]]

 [[1354  485]]

 [[1352  489]]

 [[1346  494]]

 [[1340  495]]

 [[1337  498]]

 [[1336  502]]

 [[1329  497]]

 [[1326  498]]

 [[1322  503]]

 [[1322  508]]

 [[1325  511]]

 [[1332  511]]

 [[1335  507]]

 [[1335  504]]

 [[1337  503]]

 [[1340  507]]

 [[1343  508]]

 [[1359  507]]

 [[1365  509]]

 [[1368  515]]

 [[1374  516]]

 [[1377  513]]

 [[1379  500]]

 [[1387  484]]

 [[1387  477]]

 [[1382  472]]]","[1362, 489]",1769.5
7,"[[[1502  657]]

 [[1499  660]]

 [[1498  668]]

 [[1493  672]]

 [[1492  675]]

 [[1496  681]]

 [[1496  686]]

 [[1491  692]]

 [[1488  693]]

 [[1486  697]]

 [[1486  702]]

 [[1489  705]]

 [[1495  706]]

 [[1500  711]]

 [[1511  716]]

 [[1514  716]]

 [[1518  714]]

 [[1518  707]]

 [[1513  703]]

 [[1512  699]]

 [[1508  695]]

 [[1512  688]]

 [[1512  684]]

 [[1508  680]]

 [[1511  675]]

 [[1509  670]]

 [[1510  660]]

 [[1507  657]]]","[1502, 689]",995.0
8,"[[[1577  600]]

 [[1572  599]]

 [[1568  602]]

 [[1567  608]]

 [[1563  615]]

 [[1554  614]]

 [[1551  616]]

 [[1550  623]]

 [[1552  628]]

 [[1550  630]]

 [[1550  636]]

 [[1553  642]]

 [[1559  644]]

 [[1564  641]]

 [[1566  619]]

 [[1570  621]]

 [[1576  621]]

 [[1581  618]]

 [[1583  610]]]","[1564, 620]",696.5
9,"[[[1623  592]]

 [[1613  600]]

 [[1610  606]]

 [[1611  609]]

 [[1614  611]]

 [[1624  610]]

 [[1628  613]]

 [[1635  614]]

 [[1637  621]]

 [[1633  627]]

 [[1633  630]]

 [[1636  635]]

 [[1636  638]]

 [[1634  642]]

 [[1627  648]]

 [[1628  655]]

 [[1635  657]]

 [[1637  655]]

 [[1642  654]]

 [[1646  647]]

 [[1646  637]]

 [[1644  635]]

 [[1645  626]]

 [[1641  621]]

 [[1643  613]]

 [[1638  608]]

 [[1637  601]]

 [[1634  595]]

 [[1630  592]]]","[1632, 621]",915.0
