,contour,moments,area_pixels
0,"[[[1412  673]]

 [[1413  675]]

 [[1422  679]]

 [[1426  685]]

 [[1443  692]]

 [[1455  700]]

 [[1448  706]]

 [[1448  715]]

 [[1452  718]]

 [[1455  718]]

 [[1461  712]]

 [[1459  705]]

 [[1455  701]]

 [[1478  696]]

 [[1487  683]]

 [[1487  677]]

 [[1491  673]]

 [[1494  666]]

 [[1500  660]]

 [[1514  661]]

 [[1520  665]]

 [[1542  667]]

 [[1546  670]]

 [[1551  670]]

 [[1554  668]]

 [[1554  661]]

 [[1547  653]]

 [[1538  648]]

 [[1532  641]]

 [[1532  635]]

 [[1534  630]]

 [[1538  626]]

 [[1551  620]]

 [[1569  620]]

 [[1578  628]]

 [[1584  628]]

 [[1591  624]]

 [[1603  626]]

 [[1604  629]]

 [[1611  636]]

 [[1614  637]]

 [[1616  641]]

 [[1633  658]]

 [[1634  662]]

 [[1639  664]]

 [[1644  663]]

 [[1648  659]]

 [[1657  656]]

 [[1665  656]]

 [[1669  659]]

 [[1680  662]]

 [[1699  662]]

 [[1700  666]]

 [[1697  669]]

 [[1685  674]]

 [[1679  681]]

 [[1670  685]]

 [[1661  683]]

 [[1648  672]]

 [[1641  673]]

 [[1636  680]]

 [[1637  692]]

 [[1640  695]]

 [[1645  695]]

 [[1649  689]]

 [[1653  693]]

 [[1666  698]]

 [[1674  698]]

 [[1684  695]]

 [[1693  686]]

 [[1705  681]]

 [[1712  675]]

 [[1714  665]]

 [[1720  657]]

 [[1721  648]]

 [[1720  645]]

 [[1716  642]]

 [[1709  642]]

 [[1692  649]]

 [[1666  641]]

 [[1655  641]]

 [[1641  646]]

 [[1627  634]]

 [[1622  626]]

 [[1613  617]]

 [[1607  614]]

 [[1594  610]]

 [[1587  610]]

 [[1571  606]]

 [[1558  606]]

 [[1547  608]]

 [[1530  616]]

 [[1518  617]]

 [[1502  622]]

 [[1487  621]]

 [[1485  629]]

 [[1489  638]]

 [[1489  649]]

 [[1485  652]]

 [[1483  661]]

 [[1479  666]]

 [[1478  671]]

 [[1480  673]]

 [[1477  674]]

 [[1468  684]]

 [[1463  687]]

 [[1457  688]]

 [[1452  686]]

 [[1445  679]]

 [[1422  665]]

 [[1414  666]]]","[1573, 654]",8156.0
1,"[[[1764  626]]

 [[1762  624]]

 [[1756  624]]

 [[1753  627]]

 [[1742  627]]

 [[1734  630]]

 [[1726  638]]

 [[1726  647]]

 [[1734  652]]

 [[1749  651]]

 [[1751  648]]

 [[1751  642]]

 [[1757  636]]

 [[1762  634]]

 [[1764  631]]]","[1743, 637]",674.0
2,"[[[2155  690]]

 [[2151  685]]

 [[2144  684]]

 [[2142  678]]

 [[2137  677]]

 [[2133  671]]

 [[2126  670]]

 [[2122  673]]

 [[2121  677]]

 [[2115  682]]

 [[2114  687]]

 [[2107  692]]

 [[2099  694]]

 [[2089  692]]

 [[2087  690]]

 [[2081  690]]

 [[2078  693]]

 [[2078  697]]

 [[2087  703]]

 [[2097  703]]

 [[2100  705]]

 [[2104  705]]

 [[2115  701]]

 [[2119  693]]

 [[2123  691]]

 [[2128  684]]

 [[2133  683]]

 [[2137  688]]

 [[2138  694]]

 [[2141  697]]

 [[2151  697]]

 [[2154  695]]]","[2118, 689]",976.0
3,"[[[2076  649]]

 [[2073  645]]

 [[2067  644]]

 [[2062  647]]

 [[2045  647]]

 [[2038  652]]

 [[2026  653]]

 [[2017  640]]

 [[2011  639]]

 [[2010  635]]

 [[2006  632]]

 [[2006  629]]

 [[2001  626]]

 [[1992  614]]

 [[1984  607]]

 [[1978  606]]

 [[1973  600]]

 [[1966  598]]

 [[1959  599]]

 [[1939  597]]

 [[1931  599]]

 [[1921  599]]

 [[1897  607]]

 [[1881  617]]

 [[1874  616]]

 [[1869  612]]

 [[1862  610]]

 [[1828  610]]

 [[1820  612]]

 [[1813  616]]

 [[1786  646]]

 [[1776  648]]

 [[1772  651]]

 [[1772  658]]

 [[1774  661]]

 [[1783  663]]

 [[1783  668]]

 [[1775  678]]

 [[1774  688]]

 [[1779  691]]

 [[1788  691]]

 [[1791  697]]

 [[1793  698]]

 [[1793  701]]

 [[1796  704]]

 [[1796  706]]

 [[1801  710]]

 [[1805  716]]

 [[1813  717]]

 [[1817  714]]

 [[1836  712]]

 [[1844  708]]

 [[1853  707]]

 [[1866  697]]

 [[1871  691]]

 [[1880  700]]

 [[1893  702]]

 [[1896  698]]

 [[1895  694]]

 [[1893  692]]

 [[1888  691]]

 [[1886  686]]

 [[1882  682]]

 [[1880  682]]

 [[1874  675]]

 [[1869  676]]

 [[1850  694]]

 [[1826  701]]

 [[1816  701]]

 [[1806  697]]

 [[1801  692]]

 [[1800  685]]

 [[1796  678]]

 [[1794  667]]

 [[1798  653]]

 [[1807  641]]

 [[1818  630]]

 [[1826  626]]

 [[1844  626]]

 [[1846  628]]

 [[1868  626]]

 [[1873  630]]

 [[1874  635]]

 [[1880  640]]

 [[1879  649]]

 [[1877  651]]

 [[1876  657]]

 [[1874  658]]

 [[1874  665]]

 [[1876  667]]

 [[1883  667]]

 [[1887  661]]

 [[1890  661]]

 [[1892  665]]

 [[1896  667]]

 [[1898  671]]

 [[1902  673]]

 [[1904  677]]

 [[1908  679]]

 [[1910  683]]

 [[1922  693]]

 [[1923  696]]

 [[1930  700]]

 [[1936  700]]

 [[1937  705]]

 [[1940  708]]

 [[1945  708]]

 [[1948  715]]

 [[1954  716]]

 [[1956  720]]

 [[1960  721]]

 [[1965  725]]

 [[1985  727]]

 [[1989  724]]

 [[1996  722]]

 [[2000  717]]

 [[2002  717]]

 [[2008  711]]

 [[2013  709]]

 [[2022  699]]

 [[2028  695]]

 [[2030  687]]

 [[2059  683]]

 [[2068  677]]

 [[2071  673]]

 [[2071  666]]

 [[2069  662]]

 [[2075  655]]]","[1937, 659]",19221.5
4,"[[[908 963]]

 [[908 961]]

 [[898 959]]

 [[896 955]]

 [[894 958]]

 [[888 959]]

 [[887 957]]

 [[882 957]]

 [[879 954]]

 [[879 951]]

 [[877 951]]

 [[874 947]]

 [[875 940]]

 [[865 942]]

 [[863 945]]

 [[862 952]]

 [[858 952]]

 [[857 946]]

 [[854 946]]

 [[853 950]]

 [[847 951]]

 [[842 955]]

 [[840 959]]

 [[834 961]]

 [[833 958]]

 [[829 959]]

 [[827 957]]

 [[827 954]]

 [[821 956]]

 [[821 958]]

 [[826 961]]

 [[826 964]]

 [[831 969]]

 [[843 968]]

 [[844 966]]

 [[851 967]]

 [[856 964]]

 [[862 963]]

 [[860 956]]

 [[863 955]]

 [[864 952]]

 [[868 953]]

 [[867 961]]

 [[870 962]]

 [[886 959]]

 [[888 963]]

 [[884 964]]

 [[884 966]]

 [[893 962]]

 [[894 965]]

 [[891 967]]

 [[902 968]]

 [[905 967]]]","[862, 957]",886.0
5,"[[[743 808]]

 [[725 808]]

 [[724 810]]

 [[719 810]]

 [[718 812]]

 [[711 813]]

 [[708 817]]

 [[696 822]]

 [[696 841]]

 [[702 846]]

 [[702 849]]

 [[704 849]]

 [[709 855]]

 [[713 855]]

 [[719 851]]

 [[732 851]]

 [[735 847]]

 [[737 847]]

 [[739 840]]

 [[743 838]]

 [[742 831]]

 [[745 821]]]","[720, 830]",1738.0
6,"[[[1173  908]]

 [[1171  910]]

 [[1172  917]]

 [[1187  920]]

 [[1189  922]]

 [[1188  929]]

 [[1184  934]]

 [[1183  939]]

 [[1187  945]]

 [[1193  945]]

 [[1197  941]]

 [[1197  936]]

 [[1203  924]]

 [[1203  918]]

 [[1198  911]]

 [[1188  907]]

 [[1177  909]]]","[1189, 923]",632.5
7,"[[[1282  921]]

 [[1274  921]]

 [[1272  923]]

 [[1261  923]]

 [[1258  921]]

 [[1253  921]]

 [[1250  924]]

 [[1250  929]]

 [[1246  931]]

 [[1244  934]]

 [[1244  941]]

 [[1238  946]]

 [[1238  948]]

 [[1235  951]]

 [[1235  957]]

 [[1239  964]]

 [[1247  966]]

 [[1250  963]]

 [[1253  956]]

 [[1250  947]]

 [[1256  944]]

 [[1257  937]]

 [[1265  936]]

 [[1271  933]]

 [[1274  934]]

 [[1274  939]]

 [[1278  943]]

 [[1278  945]]

 [[1274  949]]

 [[1274  953]]

 [[1280  956]]

 [[1284  954]]

 [[1284  948]]

 [[1279  944]]

 [[1284  940]]

 [[1286  936]]

 [[1286  932]]

 [[1284  931]]

 [[1285  925]]]","[1259, 939]",1069.5
8,"[[[1446  873]]

 [[1441  879]]

 [[1441  884]]

 [[1444  888]]

 [[1439  892]]

 [[1439  896]]

 [[1441  898]]

 [[1447  898]]

 [[1449  895]]

 [[1447  887]]

 [[1452  886]]

 [[1454  888]]

 [[1454  900]]

 [[1452  902]]

 [[1448  902]]

 [[1436  908]]

 [[1435  915]]

 [[1437  918]]

 [[1446  921]]

 [[1454  919]]

 [[1454  924]]

 [[1456  927]]

 [[1460  928]]

 [[1464  924]]

 [[1463  920]]

 [[1460  918]]

 [[1455  920]]

 [[1454  916]]

 [[1458  910]]

 [[1467  903]]

 [[1467  896]]

 [[1464  893]]

 [[1465  887]]

 [[1464  884]]

 [[1455  882]]

 [[1454  874]]]","[1451, 900]",906.0
9,"[[[1386  892]]

 [[1383  888]]

 [[1379  888]]

 [[1375  894]]

 [[1369  892]]

 [[1361  892]]

 [[1358  879]]

 [[1359  872]]

 [[1352  864]]

 [[1347  865]]

 [[1345  867]]

 [[1345  873]]

 [[1348  877]]

 [[1347  885]]

 [[1337  886]]

 [[1337  888]]

 [[1334  891]]

 [[1334  897]]

 [[1330  899]]

 [[1323  913]]

 [[1318  910]]

 [[1300  913]]

 [[1300  926]]

 [[1305  929]]

 [[1311  927]]

 [[1312  925]]

 [[1319  925]]

 [[1323  928]]

 [[1333  928]]

 [[1336  923]]

 [[1334  917]]

 [[1338  912]]

 [[1340  899]]

 [[1345  895]]

 [[1349  899]]

 [[1346  907]]

 [[1346  915]]

 [[1348  917]]

 [[1356  917]]

 [[1360  913]]

 [[1360  910]]

 [[1362  908]]

 [[1370  909]]

 [[1374  913]]

 [[1380  913]]

 [[1387  905]]]","[1346, 902]",1993.0
