,contour,moments,area_pixels
0,"[[[1198  639]]

 [[1193  639]]

 [[1190  637]]

 [[1163  638]]

 [[1149  640]]

 [[1147  642]]

 [[1135  645]]

 [[1134  649]]

 [[1136  652]]

 [[1136  656]]

 [[1129  656]]

 [[1124  662]]

 [[1120  661]]

 [[1121  665]]

 [[1114  671]]

 [[1114  673]]

 [[1116  674]]

 [[1116  678]]

 [[1114  681]]

 [[1104  684]]

 [[1106  688]]

 [[1113  687]]

 [[1117  682]]

 [[1121  681]]

 [[1121  686]]

 [[1124  686]]

 [[1126  690]]

 [[1113  690]]

 [[1111  692]]

 [[1107  692]]

 [[1105  698]]

 [[1101  700]]

 [[1101  710]]

 [[1103  713]]

 [[1102  718]]

 [[1105  716]]

 [[1105  712]]

 [[1110  710]]

 [[1116  702]]

 [[1128  702]]

 [[1129  697]]

 [[1126  696]]

 [[1125  693]]

 [[1128  692]]

 [[1129  689]]

 [[1132  689]]

 [[1137  695]]

 [[1137  700]]

 [[1140  703]]

 [[1148  703]]

 [[1151  700]]

 [[1151  698]]

 [[1148  695]]

 [[1148  691]]

 [[1145  690]]

 [[1145  680]]

 [[1147  679]]

 [[1147  673]]

 [[1149  672]]

 [[1148  667]]

 [[1143  668]]

 [[1134  660]]

 [[1135  657]]

 [[1139  657]]

 [[1146  662]]

 [[1151  662]]

 [[1153  660]]

 [[1165  661]]

 [[1181  659]]

 [[1189  653]]

 [[1197  650]]

 [[1197  646]]

 [[1199  644]]]","[1145, 668]",2582.5
1,"[[[1550  196]]

 [[1543  199]]

 [[1541  202]]

 [[1539  215]]

 [[1541  221]]

 [[1550  230]]

 [[1557  231]]

 [[1567  223]]

 [[1567  211]]

 [[1565  205]]

 [[1558  197]]]","[1553, 213]",753.5
2,"[[[976 894]]

 [[962 894]]

 [[944 904]]

 [[938 904]]

 [[938 909]]

 [[948 922]]

 [[956 928]]

 [[960 928]]

 [[968 920]]

 [[974 921]]

 [[975 923]]

 [[979 923]]

 [[979 914]]

 [[975 908]]

 [[975 903]]

 [[979 901]]

 [[979 897]]]","[960, 910]",951.5
3,"[[[1096  934]]

 [[1096  937]]

 [[1101  941]]

 [[1101  944]]

 [[1105  945]]

 [[1105  949]]

 [[1116  950]]

 [[1121  953]]

 [[1128  961]]

 [[1132  961]]

 [[1133  958]]

 [[1140  958]]

 [[1143  961]]

 [[1145  972]]

 [[1148  974]]

 [[1155  975]]

 [[1155  968]]

 [[1158  966]]

 [[1162  967]]

 [[1162  974]]

 [[1166  977]]

 [[1171  977]]

 [[1174  973]]

 [[1174  970]]

 [[1172  973]]

 [[1170  973]]

 [[1169  968]]

 [[1159  965]]

 [[1158  961]]

 [[1147  951]]

 [[1147  949]]

 [[1139  946]]

 [[1138  943]]

 [[1136  943]]

 [[1135  945]]

 [[1131  944]]

 [[1128  947]]

 [[1121  946]]

 [[1120  941]]

 [[1110  939]]

 [[1106  936]]

 [[1104  938]]

 [[1101  938]]

 [[1098  934]]]","[1135, 955]",859.0
4,"[[[1208  931]]

 [[1205  929]]

 [[1205  924]]

 [[1193  922]]

 [[1191  918]]

 [[1192  915]]

 [[1206  915]]

 [[1206  913]]

 [[1203  912]]

 [[1202  908]]

 [[1199  906]]

 [[1199  903]]

 [[1197  901]]

 [[1189  899]]

 [[1189  902]]

 [[1187  904]]

 [[1182  905]]

 [[1175  897]]

 [[1172  897]]

 [[1170  894]]

 [[1171  888]]

 [[1169  887]]

 [[1165  867]]

 [[1156  865]]

 [[1147  873]]

 [[1135  871]]

 [[1133  867]]

 [[1140  866]]

 [[1135  865]]

 [[1132  866]]

 [[1131  869]]

 [[1122  872]]

 [[1122  875]]

 [[1118  878]]

 [[1113  878]]

 [[1109  880]]

 [[1108  877]]

 [[1103  877]]

 [[1096  883]]

 [[1082  883]]

 [[1080  881]]

 [[1080  884]]

 [[1077  888]]

 [[1074  887]]

 [[1074  882]]

 [[1076  879]]

 [[1069  880]]

 [[1068  882]]

 [[1062  883]]

 [[1061  890]]

 [[1069  895]]

 [[1071  895]]

 [[1073  891]]

 [[1076  891]]

 [[1080  894]]

 [[1080  896]]

 [[1078  898]]

 [[1066  899]]

 [[1065  904]]

 [[1059  902]]

 [[1051  905]]

 [[1051  912]]

 [[1054  917]]

 [[1054  921]]

 [[1058  921]]

 [[1060  923]]

 [[1071  923]]

 [[1072  925]]

 [[1075  925]]

 [[1079  922]]

 [[1089  923]]

 [[1091  925]]

 [[1101  925]]

 [[1107  927]]

 [[1109  931]]

 [[1118  933]]

 [[1121  936]]

 [[1130  935]]

 [[1127  929]]

 [[1128  924]]

 [[1122  922]]

 [[1116  912]]

 [[1116  910]]

 [[1119  909]]

 [[1129  914]]

 [[1130  907]]

 [[1129  905]]

 [[1123  903]]

 [[1121  900]]

 [[1109  896]]

 [[1106  891]]

 [[1107  885]]

 [[1103  883]]

 [[1104  880]]

 [[1108  880]]

 [[1113  885]]

 [[1116  891]]

 [[1125  893]]

 [[1128  897]]

 [[1131  898]]

 [[1132  901]]

 [[1140  905]]

 [[1150  918]]

 [[1155  918]]

 [[1160  922]]

 [[1162  915]]

 [[1162  905]]

 [[1165  904]]

 [[1169  909]]

 [[1169  916]]

 [[1174  920]]

 [[1187  920]]

 [[1188  926]]

 [[1190  926]]

 [[1193  931]]

 [[1198  931]]

 [[1200  934]]

 [[1205  934]]]","[1124, 901]",5215.5
5,"[[[1067  846]]

 [[1068  853]]

 [[1071  856]]

 [[1074  864]]

 [[1077  865]]

 [[1077  870]]

 [[1079  872]]

 [[1106  871]]

 [[1126  865]]

 [[1115  858]]

 [[1113  852]]

 [[1107  846]]

 [[1105  840]]

 [[1099  837]]

 [[1089  840]]

 [[1078  840]]

 [[1077  842]]

 [[1071  843]]

 [[1069  846]]]","[1093, 855]",1319.5
6,"[[[ 969  792]]

 [[ 969  796]]

 [[ 971  796]]

 [[ 974  800]]

 [[ 979  801]]

 [[ 987  799]]

 [[ 992  803]]

 [[ 992  805]]

 [[1004  804]]

 [[1008  799]]

 [[ 995  787]]

 [[ 993  781]]

 [[ 984  781]]

 [[ 977  779]]]","[987, 792]",603.5
7,"[[[1012  735]]

 [[1005  736]]

 [[ 999  742]]

 [[ 999  744]]

 [[ 994  749]]

 [[ 991  755]]

 [[ 992  771]]

 [[ 997  772]]

 [[ 999  774]]

 [[ 999  777]]

 [[1007  788]]

 [[1011  788]]

 [[1020  782]]

 [[1026  782]]

 [[1029  774]]

 [[1027  766]]

 [[1025  765]]

 [[1024  759]]

 [[1027  756]]

 [[1025  741]]]","[1010, 761]",1447.0
8,"[[[1084  703]]

 [[1080  704]]

 [[1070  714]]

 [[1067  714]]

 [[1064  717]]

 [[1055  720]]

 [[1051  727]]

 [[1056  731]]

 [[1056  738]]

 [[1054  741]]

 [[1048  743]]

 [[1043  739]]

 [[1028  732]]

 [[1028  736]]

 [[1030  737]]

 [[1031  743]]

 [[1035  751]]

 [[1037  765]]

 [[1041  765]]

 [[1043  763]]

 [[1048  763]]

 [[1052  761]]

 [[1053  756]]

 [[1056  753]]

 [[1058  753]]

 [[1058  745]]

 [[1060  738]]

 [[1073  723]]

 [[1089  719]]

 [[1092  717]]

 [[1092  714]]

 [[1085  708]]]","[1057, 734]",1106.5
9,"[[[1209  831]]

 [[1205  838]]

 [[1200  842]]

 [[1199  854]]

 [[1201  856]]

 [[1203  865]]

 [[1207  867]]

 [[1208  872]]

 [[1214  880]]

 [[1214  883]]

 [[1217  885]]

 [[1218  890]]

 [[1221  891]]

 [[1221  893]]

 [[1223  893]]

 [[1227  897]]

 [[1230  897]]

 [[1231  899]]

 [[1244  899]]

 [[1249  896]]

 [[1250  892]]

 [[1252  891]]

 [[1254  883]]

 [[1253  856]]

 [[1249  848]]

 [[1249  839]]

 [[1245  837]]

 [[1241  842]]

 [[1243  847]]

 [[1242  858]]

 [[1238  859]]

 [[1236  857]]

 [[1235  850]]

 [[1233  847]]

 [[1233  839]]

 [[1237  832]]

 [[1222  833]]

 [[1221  831]]

 [[1217  830]]]","[1228, 864]",2631.0
