,contour,moments,area_pixels
0,"[[[611 676]]

 [[590 693]]

 [[582 706]]

 [[582 710]]

 [[585 714]]

 [[585 722]]

 [[583 723]]

 [[583 727]]

 [[587 728]]

 [[594 734]]

 [[607 733]]

 [[617 729]]

 [[624 722]]

 [[624 719]]

 [[627 714]]

 [[628 703]]

 [[626 697]]

 [[620 689]]

 [[617 682]]]","[605, 708]",1841.0
1,"[[[674 640]]

 [[669 640]]

 [[667 638]]

 [[655 636]]

 [[644 638]]

 [[634 646]]

 [[634 648]]

 [[631 649]]

 [[622 659]]

 [[619 665]]

 [[620 674]]

 [[630 685]]

 [[638 702]]

 [[645 702]]

 [[648 699]]

 [[660 696]]

 [[676 696]]

 [[680 692]]

 [[683 682]]

 [[689 671]]

 [[689 665]]

 [[686 654]]

 [[682 652]]

 [[682 650]]

 [[674 642]]]","[654, 668]",3305.0
2,"[[[869 600]]

 [[867 600]]

 [[866 602]]

 [[862 602]]

 [[862 604]]

 [[860 605]]

 [[860 618]]

 [[851 623]]

 [[854 627]]

 [[854 635]]

 [[858 644]]

 [[860 674]]

 [[866 679]]

 [[869 678]]

 [[869 657]]

 [[871 656]]

 [[878 635]]

 [[883 631]]

 [[883 627]]

 [[875 618]]

 [[870 608]]]","[866, 636]",1190.5
3,"[[[1049  606]]

 [[1044  612]]

 [[1044  623]]

 [[1050  628]]

 [[1044  633]]

 [[1044  637]]

 [[1049  643]]

 [[1056  644]]

 [[1062  642]]

 [[1064  639]]

 [[1063  633]]

 [[1054  627]]

 [[1062  619]]

 [[1062  615]]

 [[1058  607]]]","[1053, 625]",544.0
4,"[[[1047  517]]

 [[1043  515]]

 [[1039  500]]

 [[1036  500]]

 [[1036  504]]

 [[1034  506]]

 [[1023  511]]

 [[1023  517]]

 [[1020  521]]

 [[1014  518]]

 [[1009  509]]

 [[1009  505]]

 [[1007  504]]

 [[ 975  508]]

 [[ 962  514]]

 [[ 943  526]]

 [[ 929  530]]

 [[ 927  532]]

 [[ 923  532]]

 [[ 919  535]]

 [[ 917  545]]

 [[ 920  548]]

 [[ 921  553]]

 [[ 918  555]]

 [[ 917  558]]

 [[ 925  570]]

 [[ 939  580]]

 [[ 940  587]]

 [[ 956  588]]

 [[ 964  583]]

 [[ 969  582]]

 [[ 984  584]]

 [[ 986  575]]

 [[ 987  551]]

 [[ 989  541]]

 [[ 995  529]]

 [[ 999  525]]

 [[1002  525]]

 [[1010  533]]

 [[1014  533]]

 [[1018  527]]

 [[1032  526]]

 [[1034  523]]

 [[1042  521]]]","[968, 543]",5281.5
5,"[[[1181  420]]

 [[1174  420]]

 [[1171  422]]

 [[1161  420]]

 [[1156  422]]

 [[1154  427]]

 [[1147  430]]

 [[1144  428]]

 [[1145  416]]

 [[1147  412]]

 [[1129  414]]

 [[1127  416]]

 [[1110  415]]

 [[1095  418]]

 [[1073  430]]

 [[1071  436]]

 [[1067  440]]

 [[1063  440]]

 [[1061  442]]

 [[1048  443]]

 [[1046  445]]

 [[1048  451]]

 [[1046  452]]

 [[1044  459]]

 [[1045  466]]

 [[1043  470]]

 [[1047  470]]

 [[1053  474]]

 [[1058  473]]

 [[1055  458]]

 [[1058  451]]

 [[1061  448]]

 [[1063  448]]

 [[1066  453]]

 [[1065  462]]

 [[1067  467]]

 [[1086  471]]

 [[1092  468]]

 [[1099  467]]

 [[1110  461]]

 [[1117  460]]

 [[1118  458]]

 [[1131  455]]

 [[1149  445]]

 [[1170  442]]

 [[1175  440]]

 [[1175  438]]

 [[1179  434]]

 [[1181  428]]]","[1109, 440]",4461.5
6,"[[[1275  653]]

 [[1272  656]]

 [[1272  662]]

 [[1275  665]]

 [[1283  665]]

 [[1283  673]]

 [[1290  680]]

 [[1289  685]]

 [[1292  690]]

 [[1292  707]]

 [[1294  709]]

 [[1301  709]]

 [[1305  705]]

 [[1306  698]]

 [[1304  694]]

 [[1303  680]]

 [[1300  676]]

 [[1299  666]]

 [[1294  659]]

 [[1286  659]]

 [[1283  654]]]","[1292, 679]",805.0
7,"[[[1336  650]]

 [[1328  657]]

 [[1327  660]]

 [[1328  665]]

 [[1334  669]]

 [[1335  672]]

 [[1332  675]]

 [[1326  675]]

 [[1323  678]]

 [[1323  683]]

 [[1325  687]]

 [[1331  687]]

 [[1333  685]]

 [[1336  686]]

 [[1342  695]]

 [[1346  695]]

 [[1350  693]]

 [[1351  685]]

 [[1348  680]]

 [[1343  676]]

 [[1343  674]]

 [[1348  670]]

 [[1349  665]]

 [[1352  661]]

 [[1352  657]]

 [[1346  650]]]","[1338, 671]",815.0
8,"[[[1246  367]]

 [[1239  364]]

 [[1222  362]]

 [[1207  366]]

 [[1203  370]]

 [[1186  380]]

 [[1186  384]]

 [[1191  399]]

 [[1195  406]]

 [[1199  409]]

 [[1201  416]]

 [[1219  417]]

 [[1227  416]]

 [[1236  412]]

 [[1236  410]]

 [[1241  406]]

 [[1241  403]]

 [[1246  399]]

 [[1250  393]]

 [[1250  383]]

 [[1248  379]]

 [[1249  374]]

 [[1248  369]]]","[1219, 389]",2677.0
9,"[[[1340  351]]

 [[1336  354]]

 [[1325  355]]

 [[1322  354]]

 [[1317  348]]

 [[1301  349]]

 [[1285  347]]

 [[1278  348]]

 [[1266  353]]

 [[1255  364]]

 [[1257  377]]

 [[1260  381]]

 [[1259  398]]

 [[1261  408]]

 [[1268  408]]

 [[1273  411]]

 [[1274  413]]

 [[1285  419]]

 [[1297  434]]

 [[1302  434]]

 [[1310  420]]

 [[1314  405]]

 [[1322  401]]

 [[1334  390]]

 [[1349  383]]

 [[1355  378]]

 [[1356  374]]

 [[1346  367]]

 [[1338  359]]

 [[1337  355]]]","[1298, 382]",5205.5
10,"[[[1414  332]]

 [[1403  332]]

 [[1396  336]]

 [[1381  340]]

 [[1379  350]]

 [[1375  352]]

 [[1377  354]]

 [[1376  363]]

 [[1378  367]]

 [[1398  370]]

 [[1407  368]]

 [[1412  363]]

 [[1415  363]]

 [[1418  347]]

 [[1416  345]]

 [[1417  336]]]","[1397, 351]",1242.5
