,contour,moments,area_pixels
0,"[[[1095  652]]

 [[1090  650]]

 [[1084  651]]

 [[1073  664]]

 [[1071  663]]

 [[1071  660]]

 [[1068  656]]

 [[1060  656]]

 [[1055  665]]

 [[1044  665]]

 [[1040  670]]

 [[1042  691]]

 [[1045  693]]

 [[1051  693]]

 [[1056  689]]

 [[1061  681]]

 [[1061  670]]

 [[1067  677]]

 [[1074  675]]

 [[1080  680]]

 [[1087  680]]

 [[1092  675]]

 [[1097  658]]]","[1067, 670]",1256.0
1,"[[[1300  693]]

 [[1291  694]]

 [[1290  696]]

 [[1288  696]]

 [[1277  706]]

 [[1273  713]]

 [[1276  715]]

 [[1279  722]]

 [[1295  729]]

 [[1300  728]]

 [[1302  720]]

 [[1307  717]]

 [[1307  709]]

 [[1304  696]]]","[1292, 710]",825.5
2,"[[[1497  699]]

 [[1487  704]]

 [[1485  708]]

 [[1484  717]]

 [[1481  723]]

 [[1483  731]]

 [[1491  736]]

 [[1494  736]]

 [[1500  726]]

 [[1503  726]]

 [[1503  720]]

 [[1506  714]]

 [[1506  705]]

 [[1503  701]]]","[1493, 716]",636.5
3,"[[[3423  568]]

 [[3422  577]]

 [[3428  583]]

 [[3449  585]]

 [[3454  593]]

 [[3460  597]]

 [[3465  597]]

 [[3469  595]]

 [[3473  590]]

 [[3473  584]]

 [[3466  579]]

 [[3466  568]]

 [[3457  555]]

 [[3448  553]]

 [[3443  554]]

 [[3438  562]]

 [[3432  563]]]","[3449, 574]",1293.5
4,"[[[3504  603]]

 [[3500  607]]

 [[3501  648]]

 [[3511  661]]

 [[3523  669]]

 [[3532  680]]

 [[3539  681]]

 [[3543  678]]

 [[3546  673]]

 [[3565  659]]

 [[3566  651]]

 [[3562  645]]

 [[3557  643]]

 [[3544  631]]

 [[3540  623]]

 [[3532  615]]

 [[3511  603]]]","[3528, 642]",3057.0
5,"[[[585 951]]

 [[585 960]]

 [[592 965]]

 [[601 968]]

 [[604 975]]

 [[607 978]]

 [[626 980]]

 [[631 976]]

 [[633 971]]

 [[632 965]]

 [[626 958]]

 [[614 953]]

 [[601 952]]

 [[594 948]]

 [[589 948]]]","[609, 963]",944.5
6,"[[[1426  871]]

 [[1420  872]]

 [[1418  875]]

 [[1419  880]]

 [[1426  883]]

 [[1425  887]]

 [[1419  888]]

 [[1419  899]]

 [[1416  903]]

 [[1416  908]]

 [[1420  912]]

 [[1428  912]]

 [[1434  909]]

 [[1436  903]]

 [[1435  896]]

 [[1433  893]]

 [[1437  891]]

 [[1439  888]]

 [[1439  882]]

 [[1435  877]]

 [[1429  876]]]","[1427, 892]",631.0
7,"[[[1448  818]]

 [[1445  822]]

 [[1446  838]]

 [[1443  843]]

 [[1445  857]]

 [[1448  859]]

 [[1453  859]]

 [[1457  856]]

 [[1464  862]]

 [[1471  862]]

 [[1474  865]]

 [[1481  868]]

 [[1489  868]]

 [[1493  864]]

 [[1493  857]]

 [[1490  853]]

 [[1489  847]]

 [[1484  842]]

 [[1478  842]]

 [[1473  834]]

 [[1473  831]]

 [[1478  830]]

 [[1481  825]]

 [[1481  814]]

 [[1479  808]]

 [[1471  807]]

 [[1459  814]]

 [[1458  817]]

 [[1454  816]]]","[1466, 839]",1922.5
8,"[[[1242  690]]

 [[1222  694]]

 [[1206  700]]

 [[1195  707]]

 [[1189  716]]

 [[1187  724]]

 [[1187  739]]

 [[1186  744]]

 [[1184  745]]

 [[1184  754]]

 [[1189  764]]

 [[1199  774]]

 [[1211  782]]

 [[1220  782]]

 [[1221  778]]

 [[1228  773]]

 [[1241  770]]

 [[1254  753]]

 [[1258  752]]

 [[1270  744]]

 [[1271  723]]

 [[1269  717]]

 [[1261  707]]

 [[1259  707]]]","[1225, 734]",5621.5
9,"[[[1683  939]]

 [[1679  943]]

 [[1678  947]]

 [[1670  953]]

 [[1669  958]]

 [[1675  964]]

 [[1673  969]]

 [[1674  974]]

 [[1680  978]]

 [[1686  979]]

 [[1683  984]]

 [[1684  992]]

 [[1687  994]]

 [[1693  994]]

 [[1695  993]]

 [[1696  981]]

 [[1692  978]]

 [[1686  978]]

 [[1694  970]]

 [[1694  964]]

 [[1690  960]]

 [[1691  952]]

 [[1693  949]]

 [[1693  943]]

 [[1687  939]]]","[1684, 964]",840.5
10,"[[[1631  888]]

 [[1620  888]]

 [[1617  891]]

 [[1617  895]]

 [[1619  898]]

 [[1617  901]]

 [[1613  901]]

 [[1611  899]]

 [[1604  900]]

 [[1604  905]]

 [[1600  913]]

 [[1598  924]]

 [[1598  932]]

 [[1601  936]]

 [[1608  936]]

 [[1612  932]]

 [[1613  917]]

 [[1615  915]]

 [[1620  916]]

 [[1628  912]]

 [[1628  900]]

 [[1632  895]]]","[1613, 911]",818.5
11,"[[[1471  872]]

 [[1469  878]]

 [[1472  887]]

 [[1470  895]]

 [[1472  913]]

 [[1480  922]]

 [[1485  924]]

 [[1484  933]]

 [[1489  941]]

 [[1488  946]]

 [[1490  952]]

 [[1498  953]]

 [[1501  950]]

 [[1500  940]]

 [[1505  936]]

 [[1508  931]]

 [[1509  925]]

 [[1501  921]]

 [[1498  923]]

 [[1490  922]]

 [[1492  918]]

 [[1492  911]]

 [[1485  893]]

 [[1488  890]]

 [[1499  889]]

 [[1502  886]]

 [[1502  880]]

 [[1499  877]]

 [[1491  876]]

 [[1488  872]]

 [[1483  872]]

 [[1481  874]]

 [[1477  872]]]","[1486, 908]",1555.5
12,"[[[1600  758]]

 [[1594  756]]

 [[1588  758]]

 [[1580  758]]

 [[1576  761]]

 [[1569  762]]

 [[1569  764]]

 [[1573  768]]

 [[1577  777]]

 [[1582  782]]

 [[1587  783]]

 [[1592  780]]

 [[1597  774]]

 [[1601  763]]]","[1586, 768]",553.5
13,"[[[1610  742]]

 [[1606  761]]

 [[1604  763]]

 [[1603  770]]

 [[1601  773]]

 [[1601  778]]

 [[1605  778]]

 [[1607  780]]

 [[1607  783]]

 [[1604  784]]

 [[1597  782]]

 [[1591  790]]

 [[1591  799]]

 [[1589  804]]

 [[1591  804]]

 [[1592  800]]

 [[1594  800]]

 [[1595  803]]

 [[1601  801]]

 [[1604  804]]

 [[1604  808]]

 [[1612  807]]

 [[1616  809]]

 [[1624  809]]

 [[1631  812]]

 [[1636  812]]

 [[1639  801]]

 [[1635  796]]

 [[1636  780]]

 [[1633  763]]

 [[1629  755]]

 [[1621  748]]]","[1617, 781]",2064.5
14,"[[[1850  912]]

 [[1843  912]]

 [[1841  914]]

 [[1839  936]]

 [[1836  940]]

 [[1832  940]]

 [[1829  943]]

 [[1830  952]]

 [[1837  953]]

 [[1839  956]]

 [[1843  957]]

 [[1848  956]]

 [[1852  945]]

 [[1852  913]]]","[1843, 936]",651.0
