,contour,moments,area_pixels
0,"[[[149 652]]

 [[145 658]]

 [[142 658]]

 [[139 664]]

 [[140 670]]

 [[138 671]]

 [[136 677]]

 [[138 678]]

 [[138 681]]

 [[141 681]]

 [[144 685]]

 [[150 684]]

 [[158 686]]

 [[158 682]]

 [[163 679]]

 [[167 673]]

 [[169 673]]

 [[166 671]]

 [[166 669]]

 [[169 668]]

 [[171 670]]

 [[172 668]]

 [[167 662]]

 [[166 657]]

 [[168 656]]

 [[168 654]]

 [[166 652]]

 [[158 653]]

 [[156 659]]

 [[154 659]]

 [[152 657]]

 [[152 654]]]","[153, 669]",781.5
1,"[[[265 680]]

 [[263 691]]

 [[264 696]]

 [[269 704]]

 [[269 707]]

 [[267 708]]

 [[267 711]]

 [[269 713]]

 [[289 711]]

 [[291 713]]

 [[296 714]]

 [[301 719]]

 [[304 719]]

 [[308 721]]

 [[311 725]]

 [[316 726]]

 [[325 734]]

 [[328 740]]

 [[331 742]]

 [[338 738]]

 [[342 738]]

 [[347 733]]

 [[351 733]]

 [[355 726]]

 [[362 726]]

 [[370 721]]

 [[374 716]]

 [[374 710]]

 [[367 705]]

 [[366 702]]

 [[361 701]]

 [[353 695]]

 [[351 691]]

 [[347 688]]

 [[346 674]]

 [[344 673]]

 [[343 666]]

 [[345 665]]

 [[345 661]]

 [[338 661]]

 [[328 654]]

 [[314 655]]

 [[310 652]]

 [[304 652]]

 [[303 650]]

 [[296 649]]

 [[294 647]]

 [[289 653]]

 [[287 653]]

 [[284 657]]

 [[279 660]]

 [[278 669]]

 [[271 672]]

 [[268 675]]

 [[268 678]]]","[316, 693]",6015.0
2,"[[[199 648]]

 [[196 660]]

 [[191 664]]

 [[186 675]]

 [[186 680]]

 [[189 682]]

 [[189 685]]

 [[185 687]]

 [[186 692]]

 [[193 699]]

 [[195 698]]

 [[188 689]]

 [[189 685]]

 [[192 685]]

 [[196 690]]

 [[197 694]]

 [[202 698]]

 [[208 699]]

 [[209 701]]

 [[214 703]]

 [[244 696]]

 [[250 691]]

 [[252 680]]

 [[249 678]]

 [[248 672]]

 [[243 666]]

 [[239 666]]

 [[237 664]]

 [[237 661]]

 [[232 659]]

 [[222 659]]

 [[207 655]]

 [[206 650]]

 [[208 648]]

 [[211 648]]

 [[210 646]]

 [[206 646]]

 [[203 651]]

 [[201 651]]]","[217, 678]",2378.0
3,"[[[218 640]]

 [[224 646]]

 [[229 646]]

 [[236 650]]

 [[239 650]]

 [[242 654]]

 [[255 663]]

 [[258 668]]

 [[264 666]]

 [[266 658]]

 [[263 656]]

 [[262 650]]

 [[260 648]]

 [[253 649]]

 [[246 644]]

 [[239 643]]

 [[237 640]]

 [[233 639]]

 [[227 633]]

 [[223 633]]

 [[221 638]]]","[244, 649]",544.5
4,"[[[429 644]]

 [[432 650]]

 [[436 653]]

 [[448 653]]

 [[454 650]]

 [[460 650]]

 [[466 647]]

 [[465 641]]

 [[460 636]]

 [[460 633]]

 [[464 632]]

 [[467 634]]

 [[467 632]]

 [[453 630]]

 [[448 633]]

 [[445 633]]

 [[442 630]]

 [[437 630]]

 [[430 639]]]","[446, 641]",657.5
5,"[[[508 632]]

 [[506 640]]

 [[507 646]]

 [[504 649]]

 [[504 656]]

 [[497 661]]

 [[493 661]]

 [[493 664]]

 [[497 669]]

 [[505 670]]

 [[512 675]]

 [[512 681]]

 [[514 682]]

 [[514 692]]

 [[519 696]]

 [[525 696]]

 [[527 699]]

 [[534 699]]

 [[535 701]]

 [[545 701]]

 [[553 693]]

 [[559 690]]

 [[565 690]]

 [[567 688]]

 [[570 678]]

 [[566 673]]

 [[566 666]]

 [[570 661]]

 [[570 651]]

 [[566 646]]

 [[557 644]]

 [[550 640]]

 [[544 634]]

 [[537 634]]

 [[536 632]]

 [[531 633]]

 [[527 632]]

 [[526 630]]

 [[521 630]]

 [[519 628]]

 [[512 629]]

 [[510 632]]]","[534, 664]",3713.5
6,"[[[603 623]]

 [[600 626]]

 [[599 637]]

 [[593 642]]

 [[583 643]]

 [[583 648]]

 [[580 651]]

 [[579 657]]

 [[577 659]]

 [[577 664]]

 [[574 668]]

 [[578 673]]

 [[578 675]]

 [[576 676]]

 [[578 683]]

 [[579 677]]

 [[586 679]]

 [[593 689]]

 [[592 693]]

 [[594 694]]

 [[595 699]]

 [[599 704]]

 [[601 704]]

 [[604 708]]

 [[612 705]]

 [[623 708]]

 [[629 714]]

 [[631 719]]

 [[641 723]]

 [[651 722]]

 [[652 720]]

 [[661 717]]

 [[664 710]]

 [[664 704]]

 [[670 694]]

 [[670 688]]

 [[672 681]]

 [[674 679]]

 [[679 680]]

 [[679 683]]

 [[676 687]]

 [[676 695]]

 [[673 698]]

 [[674 702]]

 [[677 703]]

 [[688 696]]

 [[690 688]]

 [[689 684]]

 [[687 683]]

 [[687 667]]

 [[683 664]]

 [[683 660]]

 [[688 660]]

 [[689 658]]

 [[689 652]]

 [[686 648]]

 [[684 648]]

 [[672 636]]

 [[666 634]]

 [[655 622]]

 [[650 624]]

 [[640 624]]

 [[637 621]]

 [[625 619]]

 [[626 629]]

 [[622 632]]

 [[615 630]]

 [[615 626]]

 [[619 623]]

 [[619 621]]]","[634, 668]",8037.0
7,"[[[162 609]]

 [[159 627]]

 [[160 630]]

 [[163 631]]

 [[169 638]]

 [[172 638]]

 [[173 636]]

 [[180 637]]

 [[181 639]]

 [[186 640]]

 [[207 638]]

 [[209 631]]

 [[212 630]]

 [[217 623]]

 [[215 615]]

 [[216 610]]

 [[209 608]]

 [[208 606]]

 [[206 606]]

 [[198 600]]

 [[194 601]]

 [[192 598]]

 [[178 598]]

 [[177 596]]

 [[175 596]]

 [[177 598]]

 [[177 606]]

 [[172 611]]

 [[169 611]]

 [[169 614]]

 [[167 616]]

 [[164 615]]

 [[164 611]]

 [[167 609]]

 [[167 607]]]","[188, 620]",1765.5
8,"[[[365 583]]

 [[360 591]]

 [[354 594]]

 [[353 597]]

 [[350 597]]

 [[348 602]]

 [[341 607]]

 [[339 611]]

 [[336 611]]

 [[334 615]]

 [[339 616]]

 [[339 613]]

 [[343 612]]

 [[344 615]]

 [[342 618]]

 [[342 623]]

 [[344 623]]

 [[348 627]]

 [[352 627]]

 [[360 634]]

 [[361 644]]

 [[359 656]]

 [[363 658]]

 [[362 662]]

 [[369 666]]

 [[369 669]]

 [[373 673]]

 [[373 675]]

 [[386 676]]

 [[390 673]]

 [[393 673]]

 [[401 669]]

 [[404 664]]

 [[408 662]]

 [[411 657]]

 [[414 656]]

 [[417 647]]

 [[416 642]]

 [[419 628]]

 [[423 624]]

 [[426 624]]

 [[426 630]]

 [[429 629]]

 [[430 622]]

 [[425 619]]

 [[422 619]]

 [[421 622]]

 [[417 624]]

 [[412 619]]

 [[405 617]]

 [[399 612]]

 [[397 614]]

 [[390 613]]

 [[387 609]]

 [[375 609]]

 [[374 605]]

 [[376 603]]

 [[388 600]]

 [[395 604]]

 [[404 605]]

 [[417 617]]

 [[418 610]]

 [[413 604]]

 [[411 604]]

 [[408 601]]

 [[407 597]]

 [[402 596]]

 [[400 594]]

 [[396 595]]

 [[390 593]]

 [[386 589]]

 [[378 588]]

 [[375 583]]]","[382, 629]",4585.5
9,"[[[604 582]]

 [[601 581]]

 [[598 587]]

 [[588 595]]

 [[586 601]]

 [[581 601]]

 [[578 605]]

 [[578 609]]

 [[576 612]]

 [[571 611]]

 [[565 617]]

 [[545 622]]

 [[548 622]]

 [[549 627]]

 [[557 632]]

 [[559 636]]

 [[566 640]]

 [[579 639]]

 [[583 635]]

 [[592 631]]

 [[594 628]]

 [[593 622]]

 [[596 619]]

 [[609 615]]

 [[611 610]]

 [[610 604]]

 [[606 601]]

 [[607 595]]

 [[605 592]]]","[583, 615]",1598.5
