,contour,moments,area_pixels
0,"[[[618 590]]

 [[612 589]]

 [[610 591]]

 [[596 593]]

 [[585 599]]

 [[579 599]]

 [[577 601]]

 [[575 618]]

 [[578 631]]

 [[587 640]]

 [[590 640]]

 [[595 644]]

 [[605 644]]

 [[617 634]]

 [[620 625]]

 [[621 597]]]","[599, 616]",1976.0
1,"[[[704 515]]

 [[701 512]]

 [[697 511]]

 [[691 504]]

 [[684 506]]

 [[671 506]]

 [[660 508]]

 [[654 507]]

 [[652 509]]

 [[640 513]]

 [[628 525]]

 [[621 543]]

 [[618 560]]

 [[618 583]]

 [[620 589]]

 [[631 592]]

 [[651 602]]

 [[661 602]]

 [[675 591]]

 [[692 583]]

 [[706 569]]

 [[709 568]]

 [[713 562]]

 [[711 552]]

 [[710 525]]]","[664, 551]",7079.5
2,"[[[757 633]]

 [[754 638]]

 [[754 643]]

 [[763 668]]

 [[763 675]]

 [[760 679]]

 [[759 689]]

 [[763 693]]

 [[783 693]]

 [[802 699]]

 [[805 702]]

 [[805 712]]

 [[810 723]]

 [[817 726]]

 [[823 725]]

 [[825 720]]

 [[822 712]]

 [[821 697]]

 [[827 691]]

 [[827 684]]

 [[822 682]]

 [[813 686]]

 [[808 686]]

 [[801 682]]

 [[790 680]]

 [[780 669]]

 [[777 656]]

 [[773 649]]

 [[768 645]]

 [[764 634]]]","[788, 682]",2146.0
3,"[[[947 631]]

 [[944 637]]

 [[947 660]]

 [[947 687]]

 [[944 692]]

 [[946 700]]

 [[953 701]]

 [[960 706]]

 [[982 708]]

 [[990 707]]

 [[992 700]]

 [[989 691]]

 [[984 688]]

 [[979 690]]

 [[977 689]]

 [[976 683]]

 [[966 660]]

 [[969 651]]

 [[967 645]]

 [[957 637]]

 [[955 631]]]","[962, 676]",2001.5
4,"[[[895 584]]

 [[889 583]]

 [[886 585]]

 [[882 591]]

 [[882 594]]

 [[879 596]]

 [[879 603]]

 [[871 608]]

 [[870 611]]

 [[864 613]]

 [[862 618]]

 [[864 625]]

 [[875 625]]

 [[879 621]]

 [[883 613]]

 [[883 605]]

 [[889 602]]

 [[889 600]]

 [[897 592]]

 [[898 587]]]","[879, 605]",553.5
5,"[[[789 563]]

 [[785 565]]

 [[784 569]]

 [[786 573]]

 [[800 580]]

 [[800 600]]

 [[794 606]]

 [[782 606]]

 [[778 604]]

 [[772 605]]

 [[770 611]]

 [[772 617]]

 [[783 626]]

 [[802 626]]

 [[812 621]]

 [[813 608]]

 [[816 605]]

 [[824 603]]

 [[829 599]]

 [[829 591]]

 [[825 581]]

 [[822 578]]

 [[810 577]]

 [[809 569]]

 [[798 564]]]","[801, 598]",1813.0
6,"[[[741 538]]

 [[741 543]]

 [[745 552]]

 [[753 559]]

 [[759 562]]

 [[773 563]]

 [[776 560]]

 [[776 554]]

 [[773 552]]

 [[766 551]]

 [[757 541]]

 [[753 540]]

 [[746 535]]]","[757, 550]",516.0
7,"[[[873 476]]

 [[867 471]]

 [[866 468]]

 [[861 468]]

 [[859 470]]

 [[858 477]]

 [[854 477]]

 [[842 472]]

 [[836 472]]

 [[831 477]]

 [[831 484]]

 [[839 492]]

 [[850 498]]

 [[866 499]]

 [[869 494]]

 [[868 485]]

 [[873 480]]]","[852, 484]",869.0
8,"[[[838 384]]

 [[822 387]]

 [[810 393]]

 [[811 401]]

 [[814 407]]

 [[830 421]]

 [[837 420]]

 [[847 408]]

 [[842 389]]]","[829, 401]",930.0
9,"[[[905 373]]

 [[902 371]]

 [[892 369]]

 [[890 365]]

 [[886 363]]

 [[876 365]]

 [[870 371]]

 [[870 383]]

 [[868 386]]

 [[868 393]]

 [[870 398]]

 [[874 401]]

 [[889 399]]

 [[905 392]]

 [[910 387]]]","[886, 382]",1141.5
10,"[[[1120  718]]

 [[1120  724]]

 [[1123  727]]

 [[1133  731]]

 [[1141  744]]

 [[1148  744]]

 [[1150  741]]

 [[1153  741]]

 [[1157  744]]

 [[1161  744]]

 [[1168  736]]

 [[1176  735]]

 [[1181  730]]

 [[1181  723]]

 [[1177  719]]

 [[1164  720]]

 [[1160  717]]

 [[1153  715]]

 [[1149  715]]

 [[1143  718]]

 [[1132  715]]

 [[1125  715]]]","[1151, 727]",1203.5
11,"[[[1051  674]]

 [[1052  680]]

 [[1066  693]]

 [[1079  708]]

 [[1107  719]]

 [[1113  717]]

 [[1113  711]]

 [[1103  702]]

 [[1098  695]]

 [[1081  684]]

 [[1077  679]]

 [[1068  675]]

 [[1064  670]]

 [[1063  666]]

 [[1057  665]]]","[1080, 693]",1214.5
12,"[[[1100  624]]

 [[1100  630]]

 [[1103  632]]

 [[1120  633]]

 [[1122  635]]

 [[1122  645]]

 [[1130  649]]

 [[1136  648]]

 [[1144  643]]

 [[1150  642]]

 [[1157  635]]

 [[1157  626]]

 [[1153  622]]

 [[1132  616]]

 [[1125  616]]

 [[1117  621]]

 [[1104  621]]]","[1131, 630]",1151.0
