,contour,moments,area_pixels
0,"[[[789 277]]

 [[785 281]]

 [[785 285]]

 [[789 289]]

 [[789 291]]

 [[784 295]]

 [[781 304]]

 [[775 313]]

 [[774 324]]

 [[781 330]]

 [[786 330]]

 [[789 328]]

 [[791 324]]

 [[791 319]]

 [[795 317]]

 [[798 328]]

 [[806 329]]

 [[810 320]]

 [[813 306]]

 [[817 300]]

 [[817 295]]

 [[814 292]]

 [[810 292]]

 [[805 295]]

 [[798 295]]

 [[794 291]]

 [[799 286]]

 [[798 279]]

 [[795 277]]]","[794, 307]",1304.5
1,"[[[854 160]]

 [[852 163]]

 [[853 178]]

 [[857 181]]

 [[863 181]]

 [[868 187]]

 [[875 186]]

 [[883 174]]

 [[883 163]]

 [[877 162]]

 [[872 166]]

 [[868 166]]

 [[862 159]]]","[867, 172]",607.0
2,"[[[2358  721]]

 [[2355  717]]

 [[2350  717]]

 [[2336  724]]

 [[2320  726]]

 [[2317  728]]

 [[2316  734]]

 [[2320  738]]

 [[2338  736]]

 [[2356  728]]

 [[2358  725]]]","[2337, 728]",498.0
3,"[[[2430  646]]

 [[2422  645]]

 [[2408  650]]

 [[2404  654]]

 [[2398  666]]

 [[2391  672]]

 [[2378  678]]

 [[2372  684]]

 [[2368  690]]

 [[2369  696]]

 [[2373  699]]

 [[2377  698]]

 [[2383  692]]

 [[2389  691]]

 [[2400  682]]

 [[2406  674]]

 [[2418  663]]

 [[2431  655]]]","[2399, 670]",1065.0
4,"[[[2503  510]]

 [[2502  517]]

 [[2503  519]]

 [[2508  521]]

 [[2514  519]]

 [[2517  512]]

 [[2521  515]]

 [[2527  515]]

 [[2530  526]]

 [[2529  531]]

 [[2519  526]]

 [[2511  526]]

 [[2507  528]]

 [[2505  531]]

 [[2505  536]]

 [[2507  539]]

 [[2516  542]]

 [[2527  543]]

 [[2532  537]]

 [[2534  539]]

 [[2541  540]]

 [[2545  543]]

 [[2551  544]]

 [[2552  549]]

 [[2550  552]]

 [[2550  556]]

 [[2553  559]]

 [[2568  558]]

 [[2571  555]]

 [[2571  551]]

 [[2567  546]]

 [[2578  534]]

 [[2578  525]]

 [[2576  523]]

 [[2566  522]]

 [[2560  529]]

 [[2557  529]]

 [[2556  524]]

 [[2560  513]]

 [[2559  508]]

 [[2557  506]]

 [[2538  502]]

 [[2529  498]]

 [[2521  498]]

 [[2518  502]]

 [[2517  512]]

 [[2513  508]]

 [[2506  508]]]","[2541, 526]",2405.5
5,"[[[2609  474]]

 [[2588  473]]

 [[2585  475]]

 [[2582  491]]

 [[2583  497]]

 [[2586  500]]

 [[2593  499]]

 [[2595  492]]

 [[2600  487]]

 [[2609  485]]]","[2593, 484]",484.0
6,"[[[2842  682]]

 [[2842  688]]

 [[2845  691]]

 [[2854  690]]

 [[2870  701]]

 [[2880  701]]

 [[2886  697]]

 [[2890  697]]

 [[2892  693]]

 [[2889  687]]

 [[2885  687]]

 [[2882  689]]

 [[2871  689]]

 [[2864  683]]

 [[2862  678]]

 [[2858  675]]

 [[2849  675]]]","[2865, 688]",638.5
7,"[[[2927  638]]

 [[2922  638]]

 [[2918  642]]

 [[2916  653]]

 [[2917  660]]

 [[2922  669]]

 [[2922  675]]

 [[2918  677]]

 [[2916  682]]

 [[2908  681]]

 [[2907  683]]

 [[2903  684]]

 [[2899  689]]

 [[2900  697]]

 [[2904  701]]

 [[2906  707]]

 [[2910  709]]

 [[2916  706]]

 [[2915  696]]

 [[2917  685]]

 [[2919  687]]

 [[2923  687]]

 [[2926  684]]

 [[2930  684]]

 [[2934  687]]

 [[2941  687]]

 [[2945  681]]

 [[2944  676]]

 [[2938  673]]

 [[2933  668]]

 [[2930  662]]

 [[2928  652]]

 [[2931  644]]]","[2921, 675]",1103.5
8,"[[[2742  520]]

 [[2739  525]]

 [[2739  540]]

 [[2742  548]]

 [[2755  563]]

 [[2761  565]]

 [[2762  569]]

 [[2773  579]]

 [[2784  578]]

 [[2787  575]]

 [[2787  570]]

 [[2778  564]]

 [[2770  563]]

 [[2767  561]]

 [[2766  550]]

 [[2764  548]]

 [[2764  541]]

 [[2760  538]]

 [[2756  539]]

 [[2753  536]]

 [[2755  531]]

 [[2755  523]]

 [[2749  519]]]","[2758, 550]",1073.5
9,"[[[2930  453]]

 [[2928  458]]

 [[2929  461]]

 [[2937  465]]

 [[2944  475]]

 [[2963  484]]

 [[2972  484]]

 [[2979  487]]

 [[2987  487]]

 [[2990  485]]

 [[2991  480]]

 [[2988  476]]

 [[2976  475]]

 [[2956  466]]

 [[2944  456]]

 [[2938  453]]]","[2958, 471]",811.0
10,"[[[2715  446]]

 [[2713  453]]

 [[2726  462]]

 [[2731  471]]

 [[2743  484]]

 [[2751  484]]

 [[2754  481]]

 [[2754  474]]

 [[2746  470]]

 [[2739  462]]

 [[2738  452]]

 [[2736  448]]

 [[2724  447]]

 [[2721  445]]]","[2734, 463]",654.5
11,"[[[2932  388]]

 [[2929  391]]

 [[2926  404]]

 [[2929  410]]

 [[2930  422]]

 [[2936  424]]

 [[2940  422]]

 [[2940  420]]

 [[2948  413]]

 [[2948  405]]

 [[2943  399]]

 [[2939  390]]

 [[2936  388]]]","[2936, 406]",531.0
12,"[[[3052  638]]

 [[3055  647]]

 [[3062  651]]

 [[3071  652]]

 [[3075  655]]

 [[3083  653]]

 [[3084  649]]

 [[3097  651]]

 [[3100  654]]

 [[3100  656]]

 [[3112  657]]

 [[3116  651]]

 [[3122  653]]

 [[3122  651]]

 [[3120  651]]

 [[3115  646]]

 [[3116  643]]

 [[3121  644]]

 [[3120  640]]

 [[3117  637]]

 [[3103  638]]

 [[3106  640]]

 [[3106  643]]

 [[3100  651]]

 [[3073  642]]

 [[3068  638]]

 [[3060  636]]

 [[3055  636]]]","[3086, 646]",672.0
13,"[[[3130  582]]

 [[3133  594]]

 [[3137  597]]

 [[3148  595]]

 [[3151  598]]

 [[3156  598]]

 [[3164  604]]

 [[3174  607]]

 [[3178  607]]

 [[3181  605]]

 [[3182  599]]

 [[3178  595]]

 [[3172  594]]

 [[3157  586]]

 [[3149  587]]

 [[3138  579]]

 [[3133  579]]]","[3155, 593]",646.0
14,"[[[2990  424]]

 [[2990  434]]

 [[2992  439]]

 [[2995  441]]

 [[2996  457]]

 [[2999  460]]

 [[3011  459]]

 [[3013  461]]

 [[3013  464]]

 [[3018  468]]

 [[3030  468]]

 [[3041  466]]

 [[3053  461]]

 [[3062  452]]

 [[3065  451]]

 [[3071  454]]

 [[3081  453]]

 [[3088  460]]

 [[3094  460]]

 [[3098  458]]

 [[3104  473]]

 [[3107  475]]

 [[3119  477]]

 [[3124  474]]

 [[3123  462]]

 [[3112  455]]

 [[3111  448]]

 [[3108  442]]

 [[3108  434]]

 [[3105  431]]

 [[3101  431]]

 [[3097  434]]

 [[3095  447]]

 [[3082  447]]

 [[3080  444]]

 [[3072  440]]

 [[3066  433]]

 [[3059  432]]

 [[3055  435]]

 [[3054  442]]

 [[3052  445]]

 [[3043  452]]

 [[3030  456]]

 [[3013  456]]

 [[3012  450]]

 [[3003  439]]

 [[3002  429]]

 [[2999  422]]

 [[2993  421]]]","[3060, 451]",2380.0
15,"[[[3440  693]]

 [[3434  700]]

 [[3434  707]]

 [[3437  711]]

 [[3438  717]]

 [[3447  727]]

 [[3448  731]]

 [[3451  734]]

 [[3455  734]]

 [[3458  732]]

 [[3458  728]]

 [[3461  723]]

 [[3461  717]]

 [[3459  714]]

 [[3452  713]]

 [[3448  710]]

 [[3452  704]]

 [[3451  695]]

 [[3448  693]]]","[3447, 712]",629.0
16,"[[[3308  631]]

 [[3305  634]]

 [[3305  641]]

 [[3312  657]]

 [[3325  672]]

 [[3333  672]]

 [[3335  668]]

 [[3334  663]]

 [[3323  651]]

 [[3316  634]]

 [[3312  631]]]","[3318, 652]",556.0
17,"[[[3405  638]]

 [[3397  631]]

 [[3393  631]]

 [[3388  628]]

 [[3381  628]]

 [[3375  631]]

 [[3374  641]]

 [[3368  648]]

 [[3364  648]]

 [[3361  650]]

 [[3360  656]]

 [[3363  659]]

 [[3367  659]]

 [[3371  655]]

 [[3379  654]]

 [[3384  651]]

 [[3392  652]]

 [[3396  655]]

 [[3401  655]]

 [[3406  651]]]","[3385, 643]",841.0
18,"[[[3290  534]]

 [[3286  538]]

 [[3286  543]]

 [[3293  549]]

 [[3298  565]]

 [[3304  567]]

 [[3302  570]]

 [[3303  577]]

 [[3306  581]]

 [[3311  584]]

 [[3302  591]]

 [[3301  597]]

 [[3302  599]]

 [[3309  601]]

 [[3319  589]]

 [[3326  586]]

 [[3326  578]]

 [[3317  575]]

 [[3310  567]]

 [[3305  566]]

 [[3308  560]]

 [[3306  553]]

 [[3307  542]]

 [[3303  538]]

 [[3298  537]]

 [[3294  534]]]","[3305, 567]",904.0
